;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;интент-анализ;контент-анализ
11737;74309;186385;265212711;186384;25106701;17.04.2015 1:41;задрали эти татары уже,тошно читать))нытики стремные вот и все)))Живут и не бузят там,а вы пишите пишите больше чуши всякой));9;;Л4, И4, Ш2;2
11738;74310;186386;257145055;186384;25106701;17.04.2015 1:44;Крымские татары конченные твари, их сейчас в Крыму нужно по полной прижимать и притеснять, наглые, лживые и подлые, некая смесь хохла с чуркой, ужасный народ. По хорошему бы их к хохлам всех выслать, два сапога пара;5;;Л4, С4 ;2
11739;74311;186387;126536227;186384;25106701;17.04.2015 1:45;Чушь собачья. Гоняют не татар. Гоняют исламистов из запрещённых организаций. ??;12;;Б2, И4;1
11740;74312;186388;272198452;186384;25106701;17.04.2015 1:45;[id257145055|Kostas], по хорошему ,это тебе в жопу кол сунуть;20;;Б3, М3;4
11741;74313;186389;277180241;186384;25106701;17.04.2015 1:47;&gt : коренные жители Крыма. Лол что ?;2;;Н2, Ж2;2
11742;74314;186391;126536227;186384;25106701;17.04.2015 1:48;[id5904774|Nicky], да я думаю он как раз от параши и пишет. Провокатором подрабатывает.;1;;Е1, Щ3;3
11743;74315;186392;257145055;186384;25106701;17.04.2015 1:48;[id272198452|Али], по хорошему всех бы чурок нахрен из России выслать, но увы тяжело, дохрена вас черножопых развелось;2;;С4, Л4;4
11744;74316;186393;22316570;186384;25106701;17.04.2015 1:49;Отказываюсь верить что такое можно и в правду думать (о Костас)<br>больше на провокацию похоже<br>вообще Россия многонациональная страна, это раз, во-вторых, так же как и на украине ? в крыму абсолютное меньшинство бузит<br>основная и абсолютная часть большинства нормальные и адекватные такие же люди как и мы (хочется верить)<br>не надо нездорового национализма, иначе ничем не лучше тех же майданутых выглядите;5;;Е1, Щ3, Ж4, Р3, Ч3 ;2
11745;74317;186394;272198452;186384;25106701;17.04.2015 1:50;[id257145055|Kostas], мне кажется нет смысла говорить с отбросом общества , у тебя фашистская ава , давай доживай , биомусор;0;;Е1, Л3;4
11746;74318;186395;257145055;186384;25106701;17.04.2015 1:50;Крымские татары само захватом и беспределом в Крыму занимались, Бог он все видет, теперь час расплаты за грехи их пришел, теперь очередь русских их чморить этих тварей;2;;Ж1, П4;3
11747;74319;186396;22316570;186384;25106701;17.04.2015 1:51;Игнорируйте провокаторов как Костас, репортите её, баньте, но не надо ей отвечать и поддаваться. Троллям пищу давать нельзя.<br>Репорт и точка.;1;;Н3, П3, И4;4
11748;74320;186397;272198452;186384;25106701;17.04.2015 1:51;[id257145055|Kostas], ты просто конченный еблан??;0;;Л3,;4
11749;74321;186398;272198452;186384;25106701;17.04.2015 1:51;[id22316570|Александр], ??;0;;А3;3
11750;74322;186399;1954875;186384;25106701;17.04.2015 1:53;Самая отвратительная ложь - это наглая и глупая ложь. Но эта ложь нацелена не наглых и глупых западных обывателей, так что не чему удивляться.;7;;Ж1, Щ4;3
11751;74323;186400;7675255;186384;25106701;17.04.2015 1:55;[id257145055|Kostas], такие высказывания вполне тянут на статью. К вам домой могут прийти сотрудники ФСБ из-за одного лишь комментария вконтакте. Я не шучу!;1;;У3;4
11752;74324;186401;139685782;186384;25106701;17.04.2015 1:56;Жили  и ежегодно бузили, будучи в составе  в Украине ,и  каждый год землю  оттяпывали себе  потихоньку, впрочем, как и многие там   тоже  самовольно строились и налоги не платили. Попробовали бы они так в Европе! Как бы,интересно, тогда европейцы запели ? Кстати, Турция крымских  татар поддерживала материально, на рождение детей и нац. школы деньги давала. Что касается  обиженных нацменьшинств , то автору,видимо,невдомек, что Россия  была и есть - многонациональное государство, и в РФ в этом смысле все нормально. Лучше бы автор озаботился международным исламизмом, вот это действительно угроза не по-детски!;2;;Ж4, И4, П2;3
11753;74325;186402;231403263;186384;25106701;17.04.2015 1:56;[id257145055|Kostas], а ты сам кем будешь то ?;0;;А3;4
