;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;;
12661;73705;187003;138114091;187000;25106701;17.04.2015 19:15;Кто бы говорил;14;;;ч2;0
12662;73706;187004;47760219;187000;25106701;17.04.2015 19:15;И как Путин везде успевает?;14;;;ш2;0
12663;73707;187005;142778128;187000;25106701;17.04.2015 19:15;мы такого не слышали, поэтому вы уже со своей  пропагандой российской  достали уже всех. Давайте новенькое что-нибудь;3;;;Н2;1
12664;73708;187006;133771111;187000;25106701;17.04.2015 19:15;Чушь полнейшая.;2;;;ч2;0
12665;73709;187008;7329702;187000;25106701;17.04.2015 19:16;Одного не пойму, как увязываются интернет-тролли, и  29 медийных офисов в Центральной и Западной Европе ?<br><br>Что, дистанционно нанимать нельзя, как Госдепия делает??;6;;;Ж4;0
12666;73710;187009;66164250;187000;25106701;17.04.2015 19:16;Ну и правильно же;0;;;Х4;0
12667;73711;187014;8273884;187000;25106701;17.04.2015 19:18;Признание заслуг... В мире созрел спрос на альтернативу;4;;;х4;1
12668;73712;187016;255727208;187000;25106701;17.04.2015 19:21;Бедные, как они боятся! На них российская пропаганда действует как яд!??;8;;;Ц4;0
12669;73713;187017;146278500;187000;25106701;17.04.2015 19:22;Пиндосовскому поносу наша правда не ровня!!;2;;;л4;1
12670;73714;187019;1038871;187000;25106701;17.04.2015 19:23;ул. Савушкина 55, Санкт-Петербург. http://vk.com/video109255142_171061532;0;;;Ж4;1
12671;73715;187020;29208444;187000;25106701;17.04.2015 19:24;А что там насчет честнейшего канала CNN;5;;;ш4;1
12672;73716;187021;265212711;187000;25106701;17.04.2015 19:25;а о своих тролях они что не пишут?))))) ?? ай ай ай));2;;;Ш2;0
12673;73717;187022;82697016;187000;25106701;17.04.2015 19:26;[id265212711|Дрим], двойные стандарты, как обычно. Игра в верю-не верю. <br><br>http://izvestia.ru/news/585366;1;;;щ2;1
12674;73718;187023;1038871;187000;25106701;17.04.2015 19:26;250 человек в смену, смена 12 часов, круглосуточно, сидят, любят Родину за деньги, пишут за Путина и власть, зарплата 40-45 000р, вакансии есть, тексты и темы раздают в начале смены, охвачены все важнейшие СМИ интернета России и Запада, троллят чем больше, тем зар.плата выше. Санкт-Петербург, Савушкина 55.;2;;;р4;0
12675;73719;187025;522225;187000;25106701;17.04.2015 19:28;Пусть лучше расскажут про свою пропоганду, начинатели холодной войны...;5;;;с4;1
