;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;интент-анализ;контент-анализ
7991;38108;233713;139785506;233712;25106701;15.08.2015 3:12;зато #КРЫМНАШ;3;;ц4;2
7992;38109;233714;287804305;233712;25106701;15.08.2015 3:13;Опять всех переиграл;3;;в3;4
7993;38110;233715;507657;233712;25106701;15.08.2015 3:14;http://vk.com/photo-25106701_375512994;11;;;
7994;38111;233716;305929871;233712;25106701;15.08.2015 3:27;Уже который год читаю эти бредни...;1;;б2;0
7995;38112;233717;20124385;233712;25106701;15.08.2015 3:30;Каклы пересрались, вслед за рублем и гривна опустится в 6 раз ??;1;;с3;3
7996;38113;233718;20359088;233712;25106701;15.08.2015 3:33;Как некоторым греет душу, когда плохо не только им, но и соседу. О таких людях можно сказать только одно: ничтожества.;6;;п3;3
7997;38114;233719;252652514;233712;25106701;15.08.2015 4:03;Ну а что ещё остаётся делать пиндосам,нас не разбомбить как Ирак, не нагнуть как Грецию.<br>Только кликушествовать и нагнетать.<br>И это с галопирующим собственным долгом более 18 триллионов $.;12;;т2;3
7998;38115;233720;20359088;233712;25106701;15.08.2015 4:20;[id252652514|Алан], ещё не надоело чушь про внешний долг повторять?;4;;с3;4
7999;38116;233721;2732653;233712;25106701;15.08.2015 4:26;[id20359088|Yuriy], это его работа) Адекватные люди бесплатно про это никогда не вспомнят даже.;2;;ж3;4
8000;38117;233722;297890260;233712;25106701;15.08.2015 4:51;[id252652514|Алан], думаю в USA есть достойные и порядочные  люди,так же как и в РФ есть смерды и шушара всякая.;0;;ж3;4
8001;38118;233723;297890260;233712;25106701;15.08.2015 4:51;[id252652514|Алан], думаю в USA есть достойные и порядочные  люди,так же как и в РФ есть смерды и шушара всякая.;0;;ж3;4
8002;38119;233736;167644740;233712;25106701;15.08.2015 6:50;Хорошее агентство Мудями не назовут))Собаки лают а караван идёт));3;;н2,о1;3
8003;38120;233769;2960792;233712;25106701;15.08.2015 8:01;Караулвсепропало;0;;ш2;3
8004;38121;233771;191323200;233712;25106701;15.08.2015 8:23;Ничего удивительного в том,что такой мелкий факт,как падение цен на нефть,которое нормальные страны не заметили,вызвал кризис в сырьевом придатке под названием Россия.Ведь правительство этой страны постоянно гнобит и уничтожает промышленное производство.Оно боится процветания.;2;;ч4;1
8005;38122;233776;243368960;233712;25106701;15.08.2015 8:36;http://vk.com/photo-25106701_375518774;0;;;
8006;38123;233779;157229541;233712;25106701;15.08.2015 8:41;15 лет про это пишут, дежа-вю...;0;;ш2;2
8007;38124;233788;294653026;233712;25106701;15.08.2015 9:05;...погрузили российскую экономику в рецессию.... Всё это туфта. Не надо обобщать. Эта, так называемая рецессия, давит на мозги только мафии, миллиордерам и всем подобным. Простой люд как жил, так и живёт....рабами .;0;;ч4;2
8008;38125;233791;230322702;233712;25106701;15.08.2015 9:10;У нас  рецессия , так почему же плачут пиндосы и их подстилки? Даже не плачут, а просто воют от горя. Хорошо всё-таки  иметь  таких  партнёров .;3;;т4;2
8009;38126;233820;51430676;233712;25106701;15.08.2015 10:30;Клоуны, вы хоть ознакомьтесь со значением слова рецессия. ЕС в рецессию погрузилась уже давно, а вы все о России думаете;4;;ч3;2
8010;38127;233832;20931744;233712;25106701;15.08.2015 11:16;Если сейчас перетерпим ,а каких - то особых лишений я не заметил , паразитический запад начнет подыхать.;0;;м4;4
8011;38128;233834;252652514;233712;25106701;15.08.2015 11:34;Yuriy, если бы такой астрономический долг был у России, как думаете вы, и другие либерасты,впрочем как и Вашингтонский обком, молчали о нём ?<br>Да вы бы 24 часа в сутки визжали,что России капут.<br>То что диктат доллара и  политика канонерок (или авианосцев,кому как нравится), позволяет США доводить до абсурда финасовые аксиомы,  продолжая при этом оплачивать только 40% своего потребления, заговор молчания изменить не может.<br>Остальные 60% перекладывая на плечи остального мира (в основном Китая и ЕС).<br>И всё таки до бесконечности такая  порочная система не может длиться.<br>Беда в том,что обрушившись  она может похоронить под собой всю планету.<br>Точнее под ядерным дождём американцев.;5;;и3;3
8012;38129;233844;51430676;233712;25106701;15.08.2015 12:33;Да внешний долг для США не так опасен, как внутренний;0;;ш4;3
8013;38130;233854;80304946;233712;25106701;15.08.2015 13:08;Чихать я хотел на ваши санкции! Во все времена русского человека спасал подножный корм!! http://vk.com/photo-25106701_375534979;1;;о1;3
8014;38131;233855;7139971;233712;25106701;15.08.2015 13:11;[id297890260|Асхат], думаю в России есть достойные и порядочные люди,так же как и в Казахстане есть смерды и шушара всякая.;1;;ж3;3
