;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;Интент-анализ;контент-анализ
14118;60699;204341;104974315;204340;25106701;29.05.2015 17:51;сдохни тварь;7;;Ц4;0
14119;60700;204343;202914766;204340;25106701;29.05.2015 17:51;Давно пора всю эту мафию разогнать.;0;;В2;0
14120;60701;204344;257767075;204340;25106701;29.05.2015 17:52;Что с убогого взять.....кидается говном,потом орёт что руки воняют....;1;;н4;1
14121;60702;204346;8043062;204340;25106701;29.05.2015 17:52;Сам то должен за воротами ада быть давным давно));0;;Б4 ;1
14122;60703;204347;83141;204340;25106701;29.05.2015 17:52;Иногда мне кажется, что в Штатах только один сенатор )));1;;Ж4;1
14123;60704;204348;199669942;204340;25106701;29.05.2015 17:53;он ФИФА с ИГИЛ спутал что ли?;11;;А4;1
14124;60705;204349;220957758;204340;25106701;29.05.2015 17:54;Этот дурак ни одной проблемы не может решить без военной операции и бомбежек. Явный шизофреник.;7;;л4;1
14125;60706;204350;215599138;204340;25106701;29.05.2015 17:54;лучше бы его прибили во Вьетнаме, а не в плен взяли;0;;Ц4;1
14126;60707;204351;28702813;204340;25106701;29.05.2015 17:54;Ну в этот раз Энди Боровиц чего-т слишком толсто...<br>З.ы.: Народ, статью-то читайте? А не только заголовок.;5;;б2,ж3;1
14127;60708;204352;178976038;204340;25106701;29.05.2015 17:54;ишак;0;;л4;1
14128;60709;204353;17287035;204340;25106701;29.05.2015 17:55;Когда уже сдохнет эта старая шизофреническая мразь? Он давным давно выжил из ума,со времен карибского кризиса страдает старческим маразмом и шизофренией. И этот человек занимает высокие посты в правительстве США!;0;;л4,ж4;1
14129;60710;204354;898857;204340;25106701;29.05.2015 17:55;Он серьезно?;0;;а4;0
14130;60711;204355;262478338;204340;25106701;29.05.2015 17:56;Пора ему уже стучаться в ворота ада) или таких тупых туда не берут?);0;;л4;1
14131;60712;204356;63593871;204340;25106701;29.05.2015 17:56;Маккейн уже близок к аду....;0;;л4;1
14132;60713;204357;274838730;204340;25106701;29.05.2015 17:57;Псих;0;;л4;1
14133;60714;204358;136431299;204340;25106701;29.05.2015 17:58;От куда такие мрази лезут на свет...!!!;0;;л4;1
14134;60715;204360;22156819;204340;25106701;29.05.2015 18:01;А где любители пендосов?;0;;а4;1
14135;60716;204361;14679407;204340;25106701;29.05.2015 18:02;Военная операция в отношении фифа,этим многое сказано...;0;;Ж4;0
14136;60717;204362;206599206;204340;25106701;29.05.2015 18:02;Задрали, уже все паблики этот фейк запостили. Похоже качество этих пабликов ниже плинтуса.;0;;ж4;1
14137;60718;204364;62222129;204340;25106701;29.05.2015 18:04;Американский сатирик: Дай волю Маккейну, он Блаттера в ад загонит;1;;ж2;0
14138;60719;204365;213000397;204340;25106701;29.05.2015 18:04;Это не фейк, а сатира.;1;;б3, ж2;1
14139;60720;204366;206599206;204340;25106701;29.05.2015 18:05;[id213000397|Максим], но выкладывают как реальность.;0;;Ж3;1
14140;60721;204367;26233297;204340;25106701;29.05.2015 18:05;[id898857|Дмитрий], в том-то и дело, что ничуть. Эта  новость  на самом деле сатирическая выдумка колумниста Энди Боровица, о чём в русском переводе можно лишь догадываться по сухой сводке об авторе колонки в самом низу. Либо это троллинг, либо очень дешёвая утка. :-/;6;;Ж3;1
14141;60722;204368;32753515;204340;25106701;29.05.2015 18:08;Мало его вьетнамцы в плену пиздили;0;;л4;1
14142;60723;204369;30854000;204340;25106701;29.05.2015 18:10;Американский вариант Жириновского;1;;Ж4;1
14143;60724;204370;202959370;204340;25106701;29.05.2015 18:10;Надо арестовать кого нибудь из руководителей чемпионатов по бейсболу. Вывезти в Дагестан и там пусть прокурор республики их посадит;1;;Ж4;0
14144;60725;204371;213000397;204340;25106701;29.05.2015 18:12;Автор - сатирик, это указано в статье.;2;;ж2;1
14145;60726;204372;2458765;204340;25106701;29.05.2015 18:12;[id213000397|Максим], вате это не понять. ) Они даже статью не читали. )));0;;Ж3;2
14146;60727;204373;213000397;204340;25106701;29.05.2015 18:14;И что? Вам Маккейна жалко, что ли?;0;;А3;2
14147;60728;204374;65844971;204340;25106701;29.05.2015 18:17;Вот каким боком пиндосы к ФИФА?Лезут в любую щель,насекомые.;0;;А4,л4;2
14148;60729;204375;206599206;204340;25106701;29.05.2015 18:17;[id2458765|Константин], а вы что, умник-либераст?;0;;а3;3
14149;60730;204376;2458765;204340;25106701;29.05.2015 18:19;[id213000397|Максим], да мне как-то насрать на Маккейна. ))) Просто забавно читать, как полыхающая огнём чуть ниже спины ватка, строчит гневные комменты на юмористическую статью, которую они даже не читали. );1;;Е1, ж3;3
14150;60731;204377;2458765;204340;25106701;29.05.2015 18:19;[id206599206|Kiljaeden], вот сами невольно подтверждаете, что только человек либеральных взглядов может быть умным. ??;0;;Щ3;3
14151;60732;204378;260972747;204340;25106701;29.05.2015 18:19;Сенатор также потребовал выделить четыре миллиарда долларов на поддержку умеренных элементов в международном футболе и добавил, что Соединенные Штаты должны быть готовы направить войска в Швейцарию.<br><br>Читать далее: http://inosmi.ru/world/20150529/228292063.html#ixzz3bXN3RsrB <br>Follow us: [club25106701|ИноСМИ] on Twitter | InoSMI on Facebook- конечно, неадекват!;0;;Ж4;0
14152;60733;204379;213000397;204340;25106701;29.05.2015 18:19;У *борцов с ватой* выработался рефлекс 'американских людей обижают'. Как только кто-то 'обижает американцев' 'борцы с ватой' бросаются в бой. Это весьма забавно, потому что у этих борцов американского паспорта, как правило, нет и не будет и живет они где-нибудь под трубами советских заводов. Но интересы США для них - просто святое дело.;3;;ж4;3
14153;60734;204380;213000397;204340;25106701;29.05.2015 18:21;А свои комменты забавными вы не считаете?;0;;а3;3
14154;60735;204381;206599206;204340;25106701;29.05.2015 18:22;[id2458765|Константин], вряд-ли либераст может считаться умным. Даже такой как вы. http://vk.com/photo-25106701_366947756;0;;ж3;3
14155;60736;204382;64597375;204340;25106701;29.05.2015 18:22;вот дедок! сам-то уже одной ногой в могиле, а всё кого-то преследует.....В этом возрасте о вечном пора бы уж подумать;0;;А4, п4;1
14156;60737;204383;2458765;204340;25106701;29.05.2015 18:23;[id65844971|Денис], ну если что - поясняю.<br>США расследовали коррупцию в КОНКАКАФ (это Конфедерация футбола Северной и Центральной Америки и стран Карибского бассейна) - типа как УЕФА в Европе, а КОНКАКАФ штаб-квартира находится в США. В рамках этого расследования они вышли на коррупцию в ФИФА (а КОНКАКАФ, как и УЕФА - члены ФИФА). В итоге запросили у Швейцарии экстрадировать подозреваемых для суда. И экстрадировали только граждан США и Швейцарии, т.к. у США и Швейцарии есть договор о взаимной выдаче.;0;;ж3;0
14157;60738;204384;2458765;204340;25106701;29.05.2015 18:23;[id206599206|Kiljaeden], это мой твиттер или Спрашивай? )));0;;А3;3
14158;60739;204385;13360261;204340;25106701;29.05.2015 18:24;Маккейн,  это персонаж наподобии нашего Жириновского,  хотя блин... Это просто типичный республиканец;0;;ж4;2
14159;60740;204386;206599206;204340;25106701;29.05.2015 18:25;[id2458765|Константин], простите что?;0;;а3;3
14160;60741;204387;2458765;204340;25106701;29.05.2015 18:25;[id213000397|Максим], нет, у борцов с ватой выработался рефлекс, когда вата срёт в комментах даже не понимая сути разговора.;0;;ж3;3
14161;60742;204388;2458765;204340;25106701;29.05.2015 18:26;[id206599206|Kiljaeden], вы скрин прилепили.;0;;а3;3
14162;60743;204389;83141;204340;25106701;29.05.2015 18:26;Хуже и противнее ватников сегодня могут быть только анти-ватники;0;;ж4;3
14163;60744;204390;206599206;204340;25106701;29.05.2015 18:26;[id2458765|Константин], мне не понятна фраза. Цитирую   это мой твиттер или Спрашивай? ))) ;0;;а3;3
14164;60745;204391;2458765;204340;25106701;29.05.2015 18:27;[id206599206|Kiljaeden], откуда скриншот сделали? );0;;а3;3
14165;60746;204392;206599206;204340;25106701;29.05.2015 18:29;[id2458765|Константин], да с какой-то нелепой странички из вашего профиля.;0;;ж3;3
14166;60747;204393;120429301;204340;25106701;29.05.2015 18:31;Не, Маккейн не псих..;0;;ф4;2
14167;60748;204395;2285895;204340;25106701;29.05.2015 18:33;Американскую марионетку и туда посадить. Поработят весь мир;0;;и4;2
14168;60749;204396;136373912;204340;25106701;29.05.2015 18:35;А чем лучше Жириновский?;1;;а4;2
14169;60750;204397;213000397;204340;25106701;29.05.2015 18:35;Суть, смысл отсутствует в написанном вами.;0;;Ж2;3
14170;60751;204398;213000397;204340;25106701;29.05.2015 18:40;Чем же они так плохи, любопытно?;0;;а4;2
14171;60752;204399;252652514;204340;25106701;29.05.2015 18:41;Какая жалость что осколки ракеты комплекса С-75 Двина, не отправили к праотцам  в ад , эту мразь Маккейна ещё во Въетнаме.....хотя.....<br>Неисповедимы пути господни ...;0;;Ц4, Л4;2
14172;60753;204400;252652514;204340;25106701;29.05.2015 18:43;[id2458765|Константин], прости можете раскрыть значение неологизма  ватник  ?<br>И доказать , что вы сами не ватник...;0;;а3, Н3;3
14173;60754;204401;191323200;204340;25106701;29.05.2015 18:46;Жуть берёт от комментов,статью не читали,а лезут со своим мнением.Клоунада.;1;;ж3;3
14174;60755;204402;213000397;204340;25106701;29.05.2015 18:49;Прямо жуть?;0;;а3;3
14175;60756;204407;2458765;204340;25106701;29.05.2015 18:52;[id252652514|Алан], ИМХО, ватник - это слепой  ура-патриот , который отличается шапкозакидательством, нелогичностью, недалёким умом и отсутствием критического или, хотя бы, нейтрального взгляда на вещи.;0;;ж3;3
14176;60757;204410;252652514;204340;25106701;29.05.2015 18:56;Константин, вы в этом уверены ? На Украине  почему-то ватниками называют преимущественно  этнических русских , которых трудно назвать ура-патриотами  Украины,и наоборот  украинских ура-патриотов шапкозакидателей  считают логичными и достойными людьми.<br>Кстати , а вы сами ватник или нет?;0;;а3,ж3;3
14177;60758;204411;2458765;204340;25106701;29.05.2015 18:58;[id252652514|Алан], ватник - это интернациональное пост-советское понятие. )))<br>Если какой-нибудь украинец считает, что Иисус был хохлом, а мы все произошли от протоукров - это тоже ватник. )<br><br>И да, на Украине не называют ватниками всех русских - это я знаю абсолютно точно. ??;0;;ж3;3
14178;60759;204418;252652514;204340;25106701;29.05.2015 19:03;[id2458765|Константин], я правильно понял что вы себя не считаете ватником O!?;0;;а3;3
14179;60760;204421;252652514;204340;25106701;29.05.2015 19:05;Константин, малеееенький вопрос - откуда пошёл , появился ватник...ссори не обидная кличка, а предмет одежлы.;0;;А3;3
14180;60761;204423;191323200;204340;25106701;29.05.2015 19:06;[id213000397|Максим], да,весьма неприятно.Те которые в интернет не ходят ещё хуже.;1;;в3, Ж3;3
14181;60762;204427;213000397;204340;25106701;29.05.2015 19:08;Чем же вас это трогает?;0;;а3;3
14182;60763;204431;252652514;204340;25106701;29.05.2015 19:11;[id2458765|Константин], ау!;0;;ж3;3
14183;60764;204432;55380421;204340;25106701;29.05.2015 19:12;[id898857|Дмитрий], Энди Боровиц - писатель, драматург, режиссер, продюссер и колумнист-сатирик.;0;;Ж3;1
14184;60765;204433;2458765;204340;25106701;29.05.2015 19:13;[id252652514|Алан], ни в коем случае. ) Я - либераст! ?? ?? ??;0;;Ш1;3
14185;60766;204437;2458765;204340;25106701;29.05.2015 19:15;[id252652514|Алан], как предмет одежды меня это не интересует. Но если вкратце - это, как элемент одежды, идёт со времён русско-турецких войн, мы их у турков переняли.;0;;Е1, Ж3;3
14186;60767;204439;191323200;204340;25106701;29.05.2015 19:15;[id213000397|Максим], настроение портится когда видиш в какой стране живёш .Трудно быть богом.;0;;Ш1;3
14187;60768;204442;276914347;204340;25106701;29.05.2015 19:18;Господи, прости старого идиота и забери его к себе, пока он здесь  дров не наломал .;1;;Ш4;0
14188;60769;204443;252652514;204340;25106701;29.05.2015 19:19;[id2458765|Константин], ошибаетесь , ватник как предмет одежды  советские военные переняли у китайцев в 30 годы 20 века.<br>(Вопрос на засыпку -зачем в субтропической Турции ватники?);0;;б3,ж3;3
14189;60770;204447;213000397;204340;25106701;29.05.2015 19:19;Если вы такие умные, почему вы такие бедные?;0;;Ж3;3
