;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;интенет-анализ;контент-анализ
10923;62230;202490;2679109;202484;25106701;27.05.2015 10:37;&gt : в гражданской войне на Украине<br><br>Т.е. всё таки признают, что там не АТО нихера.;18;;п2;1
10924;62231;202499;290161955;202484;25106701;27.05.2015 10:40;Кто это вообще пишет?хорошо рассуждать о том что  там  находясь в офисе под кондиционером за 4000 км;0;;а2, п2;2
10925;62232;202504;612172;202484;25106701;27.05.2015 10:42;[id2679109|Алексей], кто признаёт?;0;;а3;2
10926;62233;202505;951667;202484;25106701;27.05.2015 10:42;Тока что по Евроньюс был сюжет о жизни НЕзависимого Донецка и о том как он интегрируется через рубли в Российское пространство! Я в шоке!!));1;;ж4, е1;3
10927;62234;202507;8204914;202484;25106701;27.05.2015 10:43;[id290161955|Mr], как точно Вы о Путине с Лавровым ??;1;;а3;3
10928;62235;202513;8204914;202484;25106701;27.05.2015 10:47;[id255727208|Улечка], я знаю свое место. А Вы знаете? );2;;е1, а3;3
10929;62236;202522;8204914;202484;25106701;27.05.2015 10:54;[id212553600|Дмитрий], нет, не знаю в полной мере. Поэтому не говорю с претензией на абсолютную истинность. Но многие у нас именно такие... Не знают, но говорят. Люблю таких. ??;0;;е1, ж3;4
10930;62237;202524;6621513;202484;25106701;27.05.2015 10:58;Ппц как их за клевету еще не привлекли;0;;у2;0
10931;62238;202529;1312624;202484;25106701;27.05.2015 11:03;Интересно: в России он воевал за создание независимой чеченской республики и считал Россию агрессором. Теперь же воюет против людей, которые захотели жить отдельно от Украины. Фактически, выступает на стороне агрессора. Позиция куртизанки по-моему...;8;;п4;0
10932;62239;202531;8204914;202484;25106701;27.05.2015 11:03;[id255727208|Улечка], как прилично - отвечать вопросом на вопрос, сударыня. ?? <br>Ну так что, скажите, знаете ли Вы, где Ваше место? );0;;а3, п3;3
10933;62240;202532;31163139;202484;25106701;27.05.2015 11:03; Русские прибыли на разные стороны фронта на восток Украины примерно в одно и то же время. Те, что на стороне Донбасса, появились прошлой весной в форме без знаков различия. Генерал Алексей Навальный))), напротив, приехал на противоположную сторону фронта с чемоданом, полным опознавательных знаков. О том, почему в гражданской войне на Украине русские воюют с русскими, пишет Time.  <br>Можно было вполне и так написать, потому как гражданская война.;0;;ж4,б2;1
10934;62241;202534;8204914;202484;25106701;27.05.2015 11:04;[id212553600|Дмитрий],  Кто это вообще пишет?хорошо рассуждать о том что  там  находясь в офисе под кондиционером за 4000 км <br><br>Надеюсь, Вы поняли, к чему я написал о Путине? Если же нет... что ж...;0;;л3;3
10935;62242;202536;8204914;202484;25106701;27.05.2015 11:07;[id212553600|Дмитрий], журналист врет меньше, чем руководство стран. Это не очевидно для Вас? ??;0;;ж3,а3;3
10936;62243;202537;252652514;202484;25106701;27.05.2015 11:07;Недобитые ублюдки, на руках которых  кровь мирных жителей Чечни,Дагестана,Ингушетии  , кровь российских солдат приехали в Бандеростан , убивать .<br>Что тут непонятного? Иса Мунаев , алгкоголик и бандит, причем настолько неуправляемый , что сами укронацисты вынуждены были его ликвидировать,поставив на его место ублюдка, которого при Януковиче  посадили за подготовку теракта в России против тогда премьера Путина.<br>Из всего этого  делаем вывод - неконституционное руководство Шеневмерленда всё больше скатывается  в терроризм. <br>А как поступают со страной -террористом, которая безжалостно бомбит и растреливает собственные города ? <br>Правильно -уничтожают!;3;;ж4, л4;0
10937;62244;202540;252652514;202484;25106701;27.05.2015 11:10;[id8204914|Владимир], а вы или СМИ Украины или США значит не лгут?;0;;ч3;2
10938;62245;202541;8204914;202484;25106701;27.05.2015 11:11;[id212553600|Дмитрий], Вы это все серьезно пишете?<br>Мда. )<br><br>Просто успокойтесь. );0;;а3, з3;3
10939;62246;202542;8204914;202484;25106701;27.05.2015 11:11;[id252652514|Алан],  все врут , сударь. Вы не знали?<br>Кто-то больше, кто-то меньше.;0;;п3;4
10940;62247;202543;252652514;202484;25106701;27.05.2015 11:12;[id212553600|Дмитрий], верующий в Кока-колу,пиццу и Госдеп США.<br>Впрочем как и все либероидные умники в рунете...;4;;л3;4
10941;62248;202545;8204914;202484;25106701;27.05.2015 11:12;[id212553600|Дмитрий], ?? эк Вас поперло-то );0;;ц3;4
10942;62249;202549;252652514;202484;25106701;27.05.2015 11:15;[id8204914|Владимир], слегка передёргивать и привирать , или даже ставить с ног на голову факты во имя интересов своей Родины в порядке вещей.<br>Особенно у англо-саксов !<br>Или вам больше по душе роль Ваньки дурачка , которого хитрые иноземцы настраивают против родной матери и отца?;1;;т2,т3;2
10943;62250;202550;8204914;202484;25106701;27.05.2015 11:17;Как выше сказал Дмитрий,  это для тебя аксиома? А я смотрю ты верующий. :)))  ?? <br>Обожаю пустозвонов и балаболов, которые гвоорят, не обладая знаниями и фактами.;0;;ц3,л3;4
10944;62251;202552;290161955;202484;25106701;27.05.2015 11:19;[id8204914|Владимир], и о тебе;0;;ж3;4
10945;62252;202554;8204914;202484;25106701;27.05.2015 11:19;[id290161955|Mr], Вы можете заметить, что я своего мнения нигде не высказал о ситуации на Украине.<br>Но ура-патриоты на меня наехали. Такие веселые милашки. ??;0;;т3,ш3;4
10946;62253;202557;84615530;202484;25106701;27.05.2015 11:20;http://vk.com/photo-25106701_366675174 http://vk.com/photo-25106701_366675175;2;;;
10947;62254;202560;8204914;202484;25106701;27.05.2015 11:21;[id212553600|Дмитрий], успокойтесь, сударь. ));0;;з3;3
10948;62255;202561;252652514;202484;25106701;27.05.2015 11:22;[id8204914|Владимир], извини , но на пустозвона и болтуна больше смахиваете вы , со своим жалким морализаторством.<br>Я например живу на Кавказе и воочию видел что здесь творили ублюдки-бандиты,которые сейчас  поехали на Украину , помогать бандеровцам(!) убивать  жителей Донбасса.<br>Может откроете мне истину , о мудрейший,или я чего то упустил , хоть и живу рядом с Чечнёй?;1;;т3,т4;1
10949;62256;202562;8204914;202484;25106701;27.05.2015 11:22;[id212553600|Дмитрий], приведите цитату моих слов о ситуации на Украине, прошу. );0;;р3;3
10950;62257;202565;8204914;202484;25106701;27.05.2015 11:23;[id252652514|Алан],  извини , но на пустозвона и болтуна больше смахиваете вы , со своим жалким морализаторством. <br><br>Удивительное дело. Вы мне тут столкьо всего понаписали, а морализатор - я? ?? <br>Ну-ну, сударь. Что, интересно, происходит у Вас в голове? );0;;н3;4
10951;62258;202567;290161955;202484;25106701;27.05.2015 11:24;[id8204914|Владимир], сидеть за монитором и никого не боясь язвить))) смело ??;2;;ш3;4
10952;62259;202571;8204914;202484;25106701;27.05.2015 11:26;[id290161955|Mr], я рад, что Вы разделяете мое мнение о Дмитрие, Алане и ком-то там еще.<br>Но мне весело. );0;;в3, е1;4
10953;62260;202572;251851751;202484;25106701;27.05.2015 11:26;Чечены, воюющие на стороне ЖИДов, Бандеро-Выродков и 3,14ДАРАСОВ ничем не лучше СВИНЕЙ!..;1;;л4;1
10954;62261;202575;8204914;202484;25106701;27.05.2015 11:26;[id212553600|Дмитрий], Вы утверждаете, что я где-то дал какие-то оценки.<br>Кому? Когда? Какие? <br>Или Вы просто так пишете, без задних мыслей? );0;;а3;4
10955;62262;202576;252652514;202484;25106701;27.05.2015 11:27;[id8204914|Владимир], а конкретно  по теме поста вам есть что сказать?<br>Если нет,то вы пустомеля , если не.....;0;;ч3;3
