;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;
13465;80231;179369;20951405;179368;25106701;27.03.2015 1:54;Советую поискать инфу о том,отчего пропал Путин с подписания договора о союзе с Абхазией аж почти на неделю. Там вероятно запад решился применить это же оружие!<br><br>Обязательно применим это оружие, у нас в доктрине написано когда!;0;;Р4, М4;2
13466;80232;179371;265912773;179368;25106701;27.03.2015 1:56;Да срать на то что это высказывание нарушает!свободу и жизнь своего народа нужно отстаивать любыми имеющимися способами!;8;;П4;1
13467;80233;179373;2740115;179368;25106701;27.03.2015 1:58;[id20951405|Виталий], и куда он пропал?);0;;А3;3
13468;80234;179375;147355511;179368;25106701;27.03.2015 2:00;админ ты баран путя сказал что ядерное вооружение всегда на стрёме а вот теперь пиндосы будут чёрном низко плавать как говно в проруби;3;;Н3;3
13469;80235;179376;20951405;179368;25106701;27.03.2015 2:01;[id2740115|Кирилл], ну дак ищи инфу, я на стену слухи не копируют.думаю в бункер управления армией. Главком же!;0;;И3;3
13470;80236;179378;2740115;179368;25106701;27.03.2015 2:02;[id20951405|Виталий], есть инфа, что гриппом заболел, сейчас по всей стране он в острой форме);0;;Ш3;4
13471;80237;179379;20951405;179368;25106701;27.03.2015 2:02;[id147355511|Алексей], это всем ясно,ток вы не кричите,ато снова комменты закроют.<br><br>Кого вы еще хотели на ИноСМИ?;0;;У3, Ж3;3
13472;80238;179380;20951405;179368;25106701;27.03.2015 2:03;[id2740115|Кирилл], это вы ребёнку расскажите,что союзный договор отсрочили из-за гриппа, аж мид рф не знал.;0;;Ц3;4
13473;80239;179381;147355511;179368;25106701;27.03.2015 2:04;[id20951405|Виталий], )))))));1;;Х2;4
13474;80240;179382;2740115;179368;25106701;27.03.2015 2:04;[id20951405|Виталий], по вашему чуть ядерная война не началась?)) И Путин неделю просидел в бункерах?;1;;Ц3;3
13475;80241;179383;20951405;179368;25106701;27.03.2015 2:06;[id2740115|Кирилл], это не по моему.<br>А ты отчего думаешь НАТО все ближе к нам?;0;;К3, Ж3;2
13476;80242;179384;279930254;179368;25106701;27.03.2015 2:07;ёптабля тупые пиндосы епта говно нахуй а  я та великорус ебать сверхчеловек нахуй а пиндосы все тупые и ваще я тут самый умный  еба;0;;л4;4
13477;80243;179385;147355511;179368;25106701;27.03.2015 2:09;[id279930254|????], я рад за тебя))))))))));0;;Ш3;4
13478;80244;179386;2740115;179368;25106701;27.03.2015 2:09;[id20951405|Виталий], либерасты вой подняли, патриоты.. Я советую не переоценять усиление НАТО на наших рубежах, ибо серьезная война никому не нужна. И Украина США не нужна кроме как рычаг давления на Россию-будущая часть санитарного кордона. У нас самое большое количество тактического ядерного оружия, вот чем будем воевать, и сокращать его мы не намерены.;0;;Н4, И4;1
13479;80245;179387;1954875;179368;25106701;27.03.2015 2:13;он готов был применить ядерное оружие не для отстаивания Крыма, а в связи с агрессивным поведением США в ответ на отстаивание Крыма. <br>Напомню - военные корабли ВМС США вторглись в наши воды.;12;;Ф4;0
13480;80246;179388;22156819;179368;25106701;27.03.2015 2:14;[id265912773|Денис], это всё не будет иметь никакого значения, если это оружие применят;0;;У4;0
13481;80247;179389;20951405;179368;25106701;27.03.2015 2:16;[id2740115|Кирилл], вы недооцениваете их про.<br>Пословицу помните?<br><br>И ещё,считается,что спустя 50 лет на зараженных территориях можно жить. Примеры есть.<br>Запад только ЗА сокращение населения. Их элиты за.;0;;У4;1
13482;80248;179390;279930254;179368;25106701;27.03.2015 2:18;))))))))))))))))))))))0000;0;;Ш3;3
13483;80249;179391;2740115;179368;25106701;27.03.2015 2:20;Про ПРО. Наши ракеты полетят через Северный полюс, а не через Европу. Поэтому, нам опасно ПРО на Аляске и в Северной Америке. Другое дело, что под видом ракет ПРО в Европе можно поставить иные ракеты..;0;;И4;2
13484;80250;179392;20951405;179368;25106701;27.03.2015 2:26;[id2740115|Кирилл], весь север защищен хаарпом если не знали. С<br>Ша пишут haarp.<br>Аляска и гринландия. Ещё новая платформа в этих.океане- небоскреб плавающий. Глянь кстати.<br><br>Про отсутствие ядерной зимы нам ещё 15 лет назад на военке говорили,думаю и в США никто не верит.;0;;И4;1
13485;80251;179393;20951405;179368;25106701;27.03.2015 2:26;[id2740115|Кирилл], и о ПРО ядерные про вы правы. Там ядерный и иной заряд ставится при нужде.;0;;В3;3
13486;80252;179394;151982648;179368;25106701;27.03.2015 2:27;Гавно бурлит,гавно воняет,меня гавно не раздражает,опасно только лишь одно-на ВВП пердит оно,и дабы сей продукт не срал-на ВСЕРОССИЙСКИЙ ИДЕАЛ,я предлагаю лишь одно-под землю закопать гавно:пусть почву унавозит-и тем добро приносит,чтоб ясный взор родного президента не омрачали гомоэкскременты!PS:Чет накатило!Извиняюсь заранее за правописание,не вертите на хую-за м'ою орфографию'!;2;;Л4, Х4, Е1;4
13487;80253;179395;2740115;179368;25106701;27.03.2015 2:29;[id20951405|Виталий], вот вам свежие новости от ракетчиков: http://www.dancomm.ru/news/neskolko_slov_o_novoj_tjazhjoloj_rakete/2014-10-15-104;0;;Ж3;4
13488;80254;179396;2740115;179368;25106701;27.03.2015 2:31;http://www.dancomm.ru/news/nemnogo_svobodnogo_vremeni_v_subbotu/2015-03-21-119;0;; - ; - 
13489;80255;179397;253422176;179368;25106701;27.03.2015 2:32;Эта страна сплошь из дебилов состоит, как я посмотрю. Ядерное оружие они применят, бараны.. Чтоб вам всем от лучевой сдохнуть, недоумки.;1;;л4;3
13490;80256;179398;4876695;179368;25106701;27.03.2015 2:35;http://vk.com/photo-25106701_357737514;1;; - ; - 
13491;80257;179399;41491268;179368;25106701;27.03.2015 2:35;Наш Солнцеликий президент несёт угрозу человечеству! (((( К сожалению мои соотечественники в угаре шовинизма этого не видят.. (((;0;;Ц4;1
13492;80258;179400;21237622;179368;25106701;27.03.2015 2:37;[id20951405|Виталий], haarp это не ПРО.;0;;Б3;1
13493;80259;179402;20951405;179368;25106701;27.03.2015 2:41;[id21237622|Владимир], это такое же ПРО ледовитого океана.<br>Что он для фермеров вы детям расскажите.<br>Я о нем с 2008 читаю и как в 100 крат мощь подняли помню и др.<br>Изучайте по СМИ хотя бы и думайте.;0;;И3, Е1, Р3;3
13494;80260;179403;21237622;179368;25106701;27.03.2015 2:45;[id20951405|Виталий], не понимаю как антенны haarp можно приспособить для радиолокации. Думаю они для этого примитивны.;0;;Ж3;1
13495;80261;179404;20951405;179368;25106701;27.03.2015 3:11;[id21237622|Владимир], вы читайте больше,а не спрашивайте меня. Иногда и учёные свои взгляды высказывают.<br>Так принцип направленной микроволновки против ракет.<br><br>Кстати домашняя микроволновка без оболочки выжигает всю аудио аппаратуру соседей за два часа.<br>Не проверял,на сайте радиолюбителей вычитал.;0;;Р3, Ж3;4
13496;80262;179405;21237622;179368;25106701;27.03.2015 3:15;[id20951405|Виталий], я вообще-то закончил радиотехникум. По специальности ЭВМ. У нас также были радиолокация и радиоаппаратостроение - это не моя тематика, но знаю всё же побольше обывателей. Так вот - микроволнами выжечь ракету не получится. Зафиксировать её прохождение можно, но для этого радиолокатор нужен. Что касается микроволновки, если сфокусировать микроволновый луч, то в принципе можно выжечь какую нибудь электронику типа айфона. А вот без фокусировки это бесполезно - плотность энергии с расстоянием слишком быстро падает.;0;;Е1, Ж3;4
