;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;интент;
8453;63079;201162;234814003;201161;25106701;25.05.2015 4:37;До границ ДНР, ЛНР земли областей .;3;;;И2;1
8454;63080;201163;172244171;201161;25106701;25.05.2015 4:52; куда дальше пойдут ополченцы...  они никуда не идут, они защищают свой дом, в отличие от *идоров западных;11;;;П2;1
8455;63081;201164;151314288;201161;25106701;25.05.2015 5:26;http://vk.com/photo151314288_365046469;2;;;;
8456;63082;201166;32753515;201161;25106701;25.05.2015 6:30;То что Мариуполь надо брать тут всем ясно. И брать как можно быстрее.;3;;;П4,С4;2
8457;63083;201167;151875207;201161;25106701;25.05.2015 6:53;нужна сухопутная связь с Крымом. Украине все равно ппц (;1;;;М4;3
8458;63084;201169;82853210;201161;25106701;25.05.2015 7:15;Сейчас уже главное задница плешфюрера.Не до Крыма...;0;;;С4,С3;4
8459;63085;201171;82853210;201161;25106701;25.05.2015 7:36;http://vk.com/photo-41233427_367627054;0;;;;
8460;63086;201172;82853210;201161;25106701;25.05.2015 7:59;http://vk.com/photo-69583597_368937766;0;;;;
8461;63087;201173;298594283;201161;25106701;25.05.2015 8:07;[id82853210|Сергей], уебан, не надоело фотошопы постить?;0;;;Л3,Т3;4
8462;63088;201174;82853210;201161;25106701;25.05.2015 8:07;[id298594283|Алексей], разбей гаджет,чмо...;0;;;Л3;4
8463;63089;201175;298594283;201161;25106701;25.05.2015 8:08;[id82853210|Сергей], хуйца сосни защеканец, бгг;0;;;Л3;4
8464;63090;201176;82853210;201161;25106701;25.05.2015 8:09;[id298594283|Алексей], уёбок ,мне твой способ любимый не подойдет.Что твоё,так твоё !!!;0;;;Л3;4
8465;63091;201177;298594283;201161;25106701;25.05.2015 8:11;[id82853210|Сергей], ты гнида делаешь так:  Сосед дай пожрать, а то насрать под дверь нечем  - типичный хохол. ахаха;0;;;Л3;4
8466;63092;201178;82853210;201161;25106701;25.05.2015 8:12;[id298594283|Алексей], другу плешивого,-Тимченко сообщи и главе Соф Феда РФ,-Вальке Красные Трусы-Матвиенко...;0;;;Л3;4
8467;63093;201179;298594283;201161;25106701;25.05.2015 8:14;[id82853210|Сергей], ну они не хохлы, они русские, с фамилией на  Ко  и всего-то. Соси хуй дальше рогуль плешивый;0;;;Л3;4
8468;63094;201180;82853210;201161;25106701;25.05.2015 8:15;[id298594283|Алексей], ты вове писал,а пришло мне ???;0;;;Ц3;4
