;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;intent;content
6780;31683;241221;1074471;241220;25106701;04.09.2015 15:16;со своим премьер-министром. ручным пропустили);2;Ш2;1
6781;31684;241222;135595159;241220;25106701;04.09.2015 15:16;Путин? Умеренность?;0;Ш4;1
6782;31685;241223;135595159;241220;25106701;04.09.2015 15:16;;3;Е1;4
6783;31686;241225;6598291;241220;25106701;04.09.2015 15:16;ну так глава государства же. Не в трениках подранных ему бегать.;38;Х4;1
6784;31687;241226;49723203;241220;25106701;04.09.2015 15:17;мд.;0;Б4;1
6785;31688;241227;11763179;241220;25106701;04.09.2015 15:18;На спорт ни одному мужику денег не жалко;6;Х4;2
6786;31689;241228;139681464;241220;25106701;04.09.2015 15:18;У президента гос. обеспечение, помимо зарплаты. Это его спец.одежда. Стране для президента, денег на хороший костюм не жалко. Он лицо России.;19;Х4;2
6787;31690;241229;123742848;241220;25106701;04.09.2015 15:19;это президент. он что, должен ходить в адидасе за 1000 рублей? вы головой хоть думайте иногда;13;Ч2;1
6788;31691;241230;253652787;241220;25106701;04.09.2015 15:19;А он, по их логике, должен был китайский адидиас на рынке купить? бред какой-то, уже не знают с какой стороны Путина укусить;9;П2;2
6789;31692;241231;146593445;241220;25106701;04.09.2015 15:19;было бы странно, если бы он был в костюме с барахолки за 1000 рублей;12;Ч2;1
6790;31693;241232;28139465;241220;25106701;04.09.2015 15:19;Дааа...они б еще про его трусов написали бы в газетах..дурдом;2;Ц2;2
6791;31694;241233;82853210;241220;25106701;04.09.2015 15:20;Должен быть в костюме Ивановской фабрики!;7;Ш4;1
6792;31695;241234;153901302;241220;25106701;04.09.2015 15:21;Надо было ему с советских времён синий такой с полосками костюмчик сохранить, и кеды с резиновым кружочком...;13;Ш4;2
6793;31696;241235;153901302;241220;25106701;04.09.2015 15:23;[id146593445|Александр], а если бы он был в костюме с барахолки,  начали бы орать про показуху);4;Т4;2
6794;31697;241236;8116264;241220;25106701;04.09.2015 15:24;Больше напрягает его показушность. Ну позанимались и ладно.  Зачем на камеру то;2;Ч3;1
6795;31698;241237;4620906;241220;25106701;04.09.2015 15:27;[id153901302|Алена], и с трениками с вытянутыми коленями));1;Ш4;2
6796;31699;241238;123742848;241220;25106701;04.09.2015 15:28;[id8116264|Антон], это президент, это обязанность. он также мог бы и деловые встречи проводить не на камеру, визиты наносить так, чтоб никто не узнал.;1;Ч4;3
6797;31700;241239;91379249;241220;25106701;04.09.2015 15:29;не в колготках и хорошо:);1;Х4;4
6798;31701;241240;52041741;241220;25106701;04.09.2015 15:29;Зато не обвешен цепями золотыми как негры;0;Х4;4
6799;31702;241241;52041741;241220;25106701;04.09.2015 15:33;Вот адик за 700 р http://vk.com/photo-25106701_377860409;4;Ж3;4
6800;31703;241242;6125735;241220;25106701;04.09.2015 15:38;Черт возьми, люди, это по-вашему нормально? Люди экономят на еде, а президент в тренит в шелке - вот лицо России, это точно.;1;Т4;2
6801;31704;241243;91379249;241220;25106701;04.09.2015 15:40;как написал журналист все из италии, дружбан берлускони задарил:);0;Ш4;3
6802;31705;241244;91379249;241220;25106701;04.09.2015 15:41;[id6125735|Andrew], да это норма:) я тож отказался от дорблю :) за 2к рублей:) ем гауду за 360:);0;Ш1;4
6803;31706;241245;304508594;241220;25106701;04.09.2015 15:42;[id123742848|Арсений], вот убедись, на Брежневе костюм советского производства да и часы тоже,не Patek Philippe Perpetual Calendar. ?? http://vk.com/photo-25106701_377861310 http://vk.com/photo-25106701_377861311;1;Ж4;4
6804;31707;241246;304508594;241220;25106701;04.09.2015 15:44;[id139681464|Александр], ?? http://vk.com/video81952384_154870761;0;Е1;4
6805;31708;241247;6125735;241220;25106701;04.09.2015 15:46;[id91379249|Михаил], черт, это дико убого) у него костюм за 200 тысяч, а ты сыр за две купить не можешь. норма;0;Ч4;4
6806;31709;241248;91379249;241220;25106701;04.09.2015 15:48;[id6125735|Andrew], да у меня системник за 207 куплю в следующий раз костемчик:);0;Ш3;4
6807;31710;241249;6125735;241220;25106701;04.09.2015 15:49;[id91379249|Михаил], молодец! Другое дело. Сразу понятно, кого представляет Путин;1;Ш4;4
6808;31711;241250;196710235;241220;25106701;04.09.2015 15:50;Он наверно должен был в майке-алкоголичке и трусах семейных тренироваться? ??;7;Ц4;4
