;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;ИНТЕНТ;
12540;55353;211427;1310846;211423;25106701;14.06.2015 16:50;Ой, а как же теперь ?;0;;;Ш2;3
12541;55354;211429;22229939;211423;25106701;14.06.2015 16:51;Каждый зарабатывает деньги как может. Из России сбежал, приходится зарабатывать на жизнь чем умеет.Цитата из Википедии  Уже проживая и работая в Париже, Гуриев находился под наблюдением российских специальных служб ;8;;;Н2;4
12542;55355;211430;49723203;211423;25106701;14.06.2015 16:51;путин спаси нас!!!;0;;;Ц4;4
12543;55356;211431;208945391;211423;25106701;14.06.2015 16:52;Ну как сказать. Российский народ чаще всего аморфен и живёт в стиле  ща все пройдёт, лучше будет . Так что нихуя не случится. А хорошо это или плохо-решать не нам;3;;;Б2,У4;4
12544;55357;211433;1074471;211423;25106701;14.06.2015 16:52;Ну как же. Путин сказал что россия обречена на успех и скоро появится 25 млн рабочих мест. Чем не стратегическое мышление. А майские указы? Если раньше зп медсестры была 20 тыщ, то теперь 13 это же тоже какая-то стратегия. Просто нужно сплотиться, пару лет потерпеть а там всё круто будет.;4;;;Ч2,У4;4
12545;55358;211434;16499396;211423;25106701;14.06.2015 16:53;Америкосы проплатят любые 'волнения' в России ??;1;;;А4,Т4;4
12546;55359;211437;22229939;211423;25106701;14.06.2015 16:54;[id177613378|Тарлан], сколько платят троллям ?? или ты на энтузиазме ??;7;;;Н3;4
12547;55360;211439;22229939;211423;25106701;14.06.2015 16:54;[id177613378|Тарлан], уроки выучил на завтра ??;0;;;Ц3;4
12548;55361;211442;22229939;211423;25106701;14.06.2015 16:55;[id177613378|Тарлан], ??;0;;;А3;4
12549;55362;211445;1017260;211423;25106701;14.06.2015 16:58;Рожа у него такая плаксивая, даже слушать не хочется;1;;;Н2;4
12550;55363;211452;20951405;211423;25106701;14.06.2015 17:03;Он про 90ые годы зачем забрехал,старый пёс?;0;;;Т2;3
