;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;ИНТЕНЦИИ;
6529;83681;175560;194402750;175559;25106701;18.03.2015 8:04;лол;2;;Л2;4
6530;83682;175561;21474262;175559;25106701;18.03.2015 8:09;Ну всё, атеистам не  браковаться  теперь...;5;;Ш4;2
6531;83683;175562;51941430;175559;25106701;18.03.2015 8:11;Мда. Я думал у нас долбославие разгулялось. А у них тоже;5;;Н3;3
6532;83684;175563;78509560;175559;25106701;18.03.2015 8:15;Это печально;1;;Д2;3
6533;83685;175565;5649943;175559;25106701;18.03.2015 8:21;[id21474262|Дмитрий], атеисты должны брать подтверждение у доктора биологических наук (или кандидата). Например может выглядеть так: <br><br> Настоящим подтверждается, что самец Имярек и самка Имярек биологического вида Хомо Сапиенс Сапиентис создают семью во имя продолжения эволюционного развития человека. Наличие репродуктивных органов подтверждаю. Именем Дарвина сие благословляю - к.б.н. Х.З. Такойтов .;27;;Ш4;4
6534;83686;175566;137452222;175559;25106701;18.03.2015 8:27;И эти люди указывают как нам жить? Америка символ мрачного средневековья http://vk.com/photo137452222_338629165;1;;Щ4;4
6535;83687;175567;58313034;175559;25106701;18.03.2015 8:27;[id51941430|Александр], у нас по сравнению с их ситуацией, ещё вполне адекватная в этом плане;4;;О1;4
6536;83688;175568;51941430;175559;25106701;18.03.2015 8:28;Не думаю, что религия адекватна хоть где-то. У них, тем не менее, нет кафедры теологии в институте ядерной физики и наука и технологии процветают.;0;;Щ4;4
6537;83689;175569;58313034;175559;25106701;18.03.2015 8:33;[id51941430|Александр], наука и технологии у нас не процветают по другим причинам, и не малой причиной является внешнее влияние все той же Америки, они очень глубоко пустили корни во все сферы существования нашей страны;6;;Щ4;4
6538;83690;175570;51941430;175559;25106701;18.03.2015 8:36;Я не очень в это верю. Наша страна всю свою историю пребывала в заднице, а некоторые периоды вылезания из дерьма преподносятся, как успех. Хотя это должно быть нормой, не быть в дерьме. Я думаю дело в том, что России достаются мудаки правители и потому что основная масса населения инертный ватный скот, который гадит там, где живет. Причем здесь Америка? Она заставляет воровать, гадить на улице и в местах отдыха, она мешает людям просвещаться, мешает строить нормальные дороги и тому подобное? Не верится.;3;;Т4;4
