;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;
9824;30358;242889;35293624;242888;25106701;09.09.2015 18:11;Толерантнее там с Петрой;3;Ш4;1
9825;30359;242891;5196216;242888;25106701;09.09.2015 18:12;У нас бы поставили подножку менту);5;Ш4;2
9826;30360;242892;1031844;242888;25106701;09.09.2015 18:12;Спокойно, это Европа....;2;Ш4;2
9827;30361;242893;7589512;242888;25106701;09.09.2015 18:13;СМИ могут раздуть трагедию на ровном месте, а могут замолчать настоящий геноцид, дерьмократы;15;Т4;3
9828;30362;242896;146527699;242888;25106701;09.09.2015 18:14;Она полиции помогала.;3;И4;1
9829;30363;242906;11014418;242888;25106701;09.09.2015 18:26;[id70101599|Елена], ??;0;А3;3
9830;30364;242908;246329852;242888;25106701;09.09.2015 18:27;Это ужасно!;1;Б4;2
9831;30365;242911;154894807;242888;25106701;09.09.2015 18:29;ай... ничего вы не понимаете! Петра Ласло сделала это из ласки и любви к беженцам! сирийцы сидели на одном месте 2 дня! 2 дня, Карл! Их мышцы задервенели, им нужно было размяться! Вот Петра и решила им помочь! В лучших традициях свободы и демократии! США ведь убивали вьетнамцев, чтобы защитить их от руссих! Японцев, чтобы защитить их от русских! Сербов, чтобы защитить их от сербов! Убивали и калечили, чтобы в мире было больше добра! А тут огрызнулись на бедную Петру, она же из лучших побуждений, в традициях европейских ценностей! Следовательно, нужно ждать, что беженцы скоро расплатятся тем же добром и с Петрой, и со всем Западом. Ждем, добра всем. http://vk.com/photo-25106701_378466032;7;Ц4;1
9832;30366;242912;197882772;242888;25106701;09.09.2015 18:31;[id70101599|Елена], высшее образование не показатель порядочности, а тон  ваших высказываний не делает вам чести.;2;П3;4
9833;30367;242913;188536215;242888;25106701;09.09.2015 18:33;[id197882772|Георгий], просто она овца;1;Л3;4
9834;30368;242916;82697016;242888;25106701;09.09.2015 18:37;[id154894807|Андрей], судя по видео за стариком гнался полицейский, тот выскользнул из его рук, тогда блонда поставила подножку продолжая снимать. Честного говоря, оказалась в ненужном месте в ненужное время;0;И4;1
9835;30369;242917;145457490;242888;25106701;09.09.2015 18:43;стадо баранов);1;Л3;3
9836;30370;242918;8043062;242888;25106701;09.09.2015 18:44;Бей беженца пока он не заплачет);0;С4;4
9837;30371;242919;8043062;242888;25106701;09.09.2015 18:46;Еще вспомнились строки группы Красное дерево: <br>Беженцы - в шоколаде нежатся,<br>А мы хлебом тешимся,<br>Плачем и вешаемся - <br>Да хули толку.<br>:);0;Ш4;4
9838;30372;242920;23225678;242888;25106701;09.09.2015 18:48;С ка;0;Л3;4
9839;30373;242926;32781941;242888;25106701;09.09.2015 19:20;В этом ролике настоящее лицо Европы ,а толерантность ,права человека ,и прочие маски ,всего лишь маки и не больше;1;Щ4;2
9840;30374;242928;193243180;242888;25106701;09.09.2015 19:26;[id5196216|Слава], если бы увидели, как мигранты от мусоров бегут?)) не смешите)));0;Ш3;2
9841;30375;242929;193243180;242888;25106701;09.09.2015 19:27;[id32781941|Арсений], учите матчасть, не позорьтесь)) европа это не паРашкинское позорное днище с населяющим его быдловатническим никчемным биомусором)));1;Л4;3
