;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;интенет-анализ;контент-анализ
1485;78816;181048;176081084;181047;25106701;02.04.2015 2:23;Ну, анализы американских  военных аналитиков  доступные публично, это более, чем смехотворность. Читал намедни парочку: от души посмеялся ??;11;;Ч2;3
1486;78817;181050;20951405;181047;25106701;02.04.2015 2:25;Ну в сравнении с США,где бюджет военки больше чем планеты,то конечно.<br><br>А то что дадим просраться всем и США не смогут после платить своим военным, к гадалке не ходи.;0;;О4,М4;3
1487;78818;181051;266745704;181047;25106701;02.04.2015 2:26;Washington Post)))) эту желтуху,скоро всерьез, никто воспринимать не будет)));13;;Ч2;3
1488;78819;181052;54711447;181047;25106701;02.04.2015 2:28;[id20951405|Виталий], и как там с США с дивана воюется?;4;;Ц3;4
1489;78820;181053;7950507;181047;25106701;02.04.2015 2:28;Даже если тысячная часть достающего до пиндосии взлетит-им мало не покажется.Пусть утешаются газетками.;1;;М4;3
1490;78821;181054;90551571;181047;25106701;02.04.2015 2:31;Российская армия всех сильней. http://vk.com/video188326658_170134939;0;;о4;4
1491;78822;181055;97811924;181047;25106701;02.04.2015 2:31;после слов о  нападении на Грузию  перестал читать. Что они перед этим расхерачили Цхенвал и российских миротворцев это пох. Вот же рашка-парашка, то на Германию нападает в 41, то на грузию в 2008. Агрессор эдакий.;11;;г2, Ц4;3
1492;78823;181056;126536227;181047;25106701;02.04.2015 2:32;[id97811924|Руслан], причём нападение грызунов на Осетию является известным всему миру фактом.;0;;Ц4;4
1493;78824;181058;20951405;181047;25106701;02.04.2015 2:34;[id54711447|Александр], а че кто то воюют с дивана?<br>Ты мысль то развивай. Учись.;0;;а3, р3;4
1494;78825;181059;97811924;181047;25106701;02.04.2015 2:35;[id126536227|Григорий], Как видно в статье, не всему миру далеко этот факт известен. И некоторым выгодно, чтобы этот факт вообще был забыт. Главное, что Россия войска применила. Почему это произошло всем должно быть пох. Делают из народа своего даунов, мне даже жалко американцев обычных немного.;1;;Т4;3
1495;78826;181060;173302147;181047;25106701;02.04.2015 2:46;Да. Но пиздюлей дать можем всем.;0;;М4;4
1496;78827;181061;94154128;181047;25106701;02.04.2015 2:47;Ну ну.;0;;б3 ;4
1497;78828;181062;18109235;181047;25106701;02.04.2015 2:47;[id97811924|Руслан], да почитай комментарии там. Грузия была вынуждена применить артиллерию против вражеских батарей, которые находились в городской черте. <br>Газета  правда  в чистом виде, добро пожаловать в совок.;0;;р3, П4;3
1498;78829;181064;214634142;181047;25106701;02.04.2015 2:55;Успокаивают людей,которые перестают верить в могущество пиндосии...это по американски;0;;Щ2;4
1499;78830;181065;214634142;181047;25106701;02.04.2015 2:59;[id70101599|Елена], ??утешай себя бредом русофоба;4;;л3;4
1500;78831;181066;254284318;181047;25106701;02.04.2015 3:02;иносми....уже после прочтения ясно ,что ни капли правды небудет;0;;Н2;3
