;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;интент-анализ;контент-анализ
3265;26778;247550;29208444;247549;25106701;29.09.2015 7:32;То есть каждый пятый за чертой бедности? Откуда столько пробок в любом городе России? Откуда столько туристов?;16;;А2,Н2;1
3266;26779;247553;22229939;247549;25106701;29.09.2015 7:39;Помимо крупных городов где есть работа деньги и перспективы, есть еще небольшие провинции, моногорода и глухие деревни. И к сожалению бедность и даже нищета там присутствуют, увы. Признание проблемы вероятно есть первый шаг к ее устранению.;12;;И4;2
3267;26780;247555;33654194;247549;25106701;29.09.2015 7:42;Ага,взяли и устранили!кому это нужно!;0;;Ж4;4
3268;26781;247556;296154183;247549;25106701;29.09.2015 7:43;Алексей, автомобиль не роскошь, особенно сейчас, от б/у авто порой избавляются за 10 - 50 тысяч рублей, поэтому и нищии могут позволить себе иметь авто. Ну а насчёт богатых то у них не один автомобиль а порой и целый парк автомобилей. Поэтому и пробки на дорогах.;0;;И4;4
3269;26782;247558;487375;247549;25106701;29.09.2015 7:45;[id29208444|Алексей], каждый пятый в России, а не в Питере и Москве - во-первых :  во-вторых - Вы были в любом городе России??! И Вы в курсе, что средняя зарплата в Рязани, Тамбове, Липецке, Пензе и т.п., а точнее в их областях, равна 5-8 тысячам?? 1/5 это не так уж и много.;3;;Ф3,И4;3
3270;26783;247559;30437342;247549;25106701;29.09.2015 7:45;[id252652514|Алан], DW за последние полтора года превратилось в банальную помойку... Факт.<br>Адекватности ноль;4;;Т2;3
3271;26784;247560;83862574;247549;25106701;29.09.2015 7:47;[id29208444|Алексей], в деревню съездите и увидите 90% бедных.;2;;р3;4
3272;26785;247561;30437342;247549;25106701;29.09.2015 7:47;[id487375|Тёма], вы в курсе, что в Пензе (моем родном городе) на дорогах практически не осталось отечественных машин?<br>Вы в курсе, сколько квартир строится и покупается? На сколько вырос город?<br>Вы свои данные берете в Эйхо Масквы, а я там с родными и знакомыми общаюсь.<br>Спору нет, не все гладко, но в целом ничо, все ровно. Когда было легко то?;9;;Т3;4
3273;26786;247562;22229939;247549;25106701;29.09.2015 7:47;[id252652514|Алан], нет конечно, не до такой степени. Западные  партнеры  с прошлых веков значительно занижают потенциал России в своих очерках, стараясь выглядеть на нашем фоне убедительнее в своем развитии. Речь в статье вероятно о той прослойке населения которая по разным причинам не в состоянии купить себе новую одежду, автомобиль или вовремя платить налоги.;1;;Ф3,И4;3
3274;26787;247564;29208444;247549;25106701;29.09.2015 7:49;[id487375|Тёма], в любом не был. Но вот в тех что вы перечислили побывал и не раз, и ещё в десятке других. И я видел и количество машин, и марки машин и количество людей в магазине и тому подобное. Зарплата 5-8 тысяч есть, но прожить на неё нереально.;2;;Ф3,И4;4
3275;26788;247565;172064826;247549;25106701;29.09.2015 7:49;[id487375|Тёма], ты почаще выезжай со своего Питера , идиотко... Зарплату он в 5-8 тыс. где-то нашёл. Да в моей  провинции  за такие деньги даже улицы уже давно не метут ));10;;Н3,Л3,О1;4
3276;26789;247567;487375;247549;25106701;29.09.2015 7:52;[id172064826|Виталий], поаккуратней в выражениях. У меня несколько десятков родственников из тех краев. и такие зарплаты сплошь и рядом;0;;у1, е1;4
3277;26790;247568;487375;247549;25106701;29.09.2015 7:53;[id252652514|Алан], а я не жалуюсь. И не про себя говорю. Я в Питере живу. А про другие регионы по родственникам знаю.;0;;б3,е1;4
3278;26791;247570;487375;247549;25106701;29.09.2015 7:54;[id30437342|Дмитрий], я уточнял что в первую очередь не города имею ввиду;0;;К3;4
3279;26792;247571;11850447;247549;25106701;29.09.2015 7:55;Вранье, даже в Красноярске пробок меньше не стало...... Ну выросли цены чуть - чуть, а с дефолтом 98 все равно не сопоставимо, и черта бедности понятие относительное в разных странах с разными ценами, условиями жизни, потребностями и запросами населения......;5;;т2, И4;3
3280;26793;247572;172064826;247549;25106701;29.09.2015 7:55;[id487375|Тёма], без обид конечно , но видимо твои  родственники  какие-то никчёмные алканы без специальности и образования , если соглашаются работать за такие деньги;1;;Т3;4
3281;26794;247574;487375;247549;25106701;29.09.2015 7:56;[id252652514|Алан], откуда мне знать что там у Вас конкретно творится?!<br>Я говорю про почтальонов, учителей например, в деревне.;0;;Ф3, И4;4
3282;26795;247575;4620906;247549;25106701;29.09.2015 7:57; чтоб ты жил на одну зарплату ;0;;ш3;4
3283;26796;247576;30437342;247549;25106701;29.09.2015 7:57;[id487375|Тёма], OK;0;;в3;4
3284;26797;247577;323250152;247549;25106701;29.09.2015 7:57;зарплат 5-7 тыс нет и в Ростове. даже консьержи получают в домах по 7-8 тыс и только сплетничают. Учителя в Ростове получают 25-30 тыс,охранник в школе -15;6;;И4;4
3285;26798;247580;10253259;247549;25106701;29.09.2015 8:00;[id487375|Тёма], что-то дома знакомые у вас на фото, рядом с Парком интернационалистов?);0;;а3;4
3286;26799;247581;487375;247549;25106701;29.09.2015 8:00;[id10253259|Андрюшен], ага;0;;в3;4
3287;26800;247582;10253259;247549;25106701;29.09.2015 8:01;[id487375|Тёма], почти соседи, я с Бухарестской 80!);0;;е1 ;4
3288;26801;247583;487375;247549;25106701;29.09.2015 8:02;[id252652514|Алан], Вы по ходу только себя слышите и читаете...;0;;т3;4
3289;26802;247584;10253259;247549;25106701;29.09.2015 8:02;Только был у ваших домов!) http://vk.com/photo10253259_383747083;2;;е1;4
3290;26803;247585;172064826;247549;25106701;29.09.2015 8:03;Ну расчехлили тебя-трипиздабола здесь , что сразу взрываться-то так ?));1;;л3;4
3291;26804;247586;2178925;247549;25106701;29.09.2015 8:04;Глупая статейка, расчитанная на бюргеров. Пробки никуда не делись, в магазинах народу меньше не стало, да и поспорил бы что все стали экономить. Да возможности упали, но не критически. Жить вполне можно, знавали и худшие времена.;2;;Ч2,И4;2
3292;26805;247588;487375;247549;25106701;29.09.2015 8:05;[id10253259|Андрюшен], я с Бухарестсткой севернее) в этих домах я пока тоже не живу);0;;е1;4
3293;26806;247590;244354555;247549;25106701;29.09.2015 8:06;Будто в разных Россиях живем. Маленький провинциальный город, зарплата дворника - 10 тысяч, зарплаты медсестры - от 7 до 11 тысяч.;0;;И4;4
3294;26807;247591;305929871;247549;25106701;29.09.2015 8:06;21.7 алкашей и нариков,которые делать нихера не хотят,им только смену власти подавай.;0;;Н4;4
3295;26808;247592;10253259;247549;25106701;29.09.2015 8:06;[id252652514|Алан], спасибо, действительно приятный райончик СПб!);1;;Д3;4
3296;26809;247594;305929871;247549;25106701;29.09.2015 8:08;[id244354555|Егор], Вы медсестра или дворник?;0;;а3,С3;4
3297;26810;247595;22229939;247549;25106701;29.09.2015 8:08;В статье говорят о малоимущих, ребята. Не ссорьтесь пожалуйста. Дополнительная цель это поддержка отечественного производителя. http://produktovayakarta.ru;1;;ж3, з3;3
3298;26811;247596;244354555;247549;25106701;29.09.2015 8:10;[id305929871|Egor], медсестрой работает моя мама, а дворником работал дед.;0;;е1;4
3299;26812;247598;305929871;247549;25106701;29.09.2015 8:11;[id244354555|Егор], их кто то заставлял работать на этих специальностях?;0;;а3;4
3300;26813;247600;244354555;247549;25106701;29.09.2015 8:12;[id305929871|Egor], да. Отсутствие любой другой работы, доступной пенсионерам, кроме охранника за еще более нищенскую зарплату. Среднее медицинское образование, с которым в нашем городе можно работать либо в поликлинике, либо на паперти.;0;;И3;4
3301;26814;247601;111845091;247549;25106701;29.09.2015 8:14;[id244354555|Егор], а ты сам кем работаешь?;0;;а3;4
3302;26815;247602;305929871;247549;25106701;29.09.2015 8:17;[id244354555|Егор], моя мама к примеру,закончила медицинский институт.Ну дальше эту тему,не буду развивать....Как говорится,кто на что учился,тот и получился.;0;;е1, г3;4
