;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;интент-анализ;Unnamed: 10
6388;69934;191794;3925131;191793;25106701;2015-04-30 17:41:28;Обама у меня к тебе всего 2 вопроса: 1) Куда уехал цирк? 2) Почему ты остался?;10;;Ц4;3.0
6389;69935;191796;217356698;191793;25106701;2015-04-30 17:44:25;у нас рецессия не из-за абамки!1 ура!;0;;Ц2;3.0
6390;69936;191797;279930254;191793;25106701;2015-04-30 17:44:29;Ну ты типа такой смешной, шутник, да ?;1;;Ш2;3.0
6391;69937;191803;212553600;191793;25106701;2015-04-30 17:51:18;Лучше бы про сэшэашку что нибудь говорил. Напоминает поздний Совок – у самих жопа, а они все на Россию кивают. Какая разница что у нас, ты народу США демократию обеспечь, растоман.<br>США необходима «Перестройка». Жаль что они этого не понимают. );5;;П4;4.0
6392;69938;191805;84615530;191793;25106701;2015-04-30 17:54:55;когда сга будут свой внешний долг в 20 трл баксов возвращать...;0;;а4;4.0
6393;69939;191806;212553600;191793;25106701;2015-04-30 17:55:36;Сергей, никогда. Обама так и будет пиндосам рассказывать как Рашка загибается.;2;;Щ4;4.0
6394;69940;191824;302559485;191793;25106701;2015-04-30 18:40:22;Балтимор ждёт наших шагов! <br>Фредди Грей - не забудем, не простим! http://vk.com/audio2000498157_364475309 http://vk.com/photo-25106701_363675595;3;;Ц4;4.0
6395;69941;191825;302559485;191793;25106701;2015-04-30 18:40:40;Цэ Европа, я скозав! http://vk.com/audio2000497620_364091119 http://vk.com/photo-25106701_363675631;2;;Ц4;4.0
6396;69942;191857;142661393;191793;25106701;2015-04-30 19:38:19;[id302559485|Calm], герої не вмирають !;0;;о3;4.0
6397;69943;191867;20248479;191793;25106701;2015-04-30 19:47:20;Какие же вы идиоты;0;;л3;4.0
6398;69944;191879;302559485;191793;25106701;2015-04-30 20:23:04;[id20248479|Алексей], oh really? What a lowlife punk.;0;;Ш3;4.0
6399;69945;191881;87898626;191793;25106701;2015-04-30 21:27:16;ага!!! Вся экономика РФ  в клочья !!! Кацапам пиздец.... ?? <br>Я живу лучше, чем ваш  средний  класс...Сравним цены на всё, свидомые?;1;;Ц2;3.0
6400;69946;191894;120429301;191793;25106701;2015-04-30 22:41:27;[id212553600|Дмитрий], таки понимают, но не все. http://inosmi.ru/world/20150402/227262647.html А если не получится реформировать, то всегда есть запасной вариант http://www.krugozormagazine.com/show/Plastikovie_grob;0;;в3, Ш3;4.0
6401;69947;191896;279930254;191793;25106701;2015-04-30 22:58:06;Специалист, ты знаешь из чего этот долг формируется ?;0;;а3;3.0
6402;69948;191897;146719670;191793;25106701;2015-04-30 23:01:05;http://vk.com/doc146719670_386995090 http://vk.com/doc146719670_346513964;0;;;
6403;69949;191900;259302793;191793;25106701;2015-04-30 23:07:23;The Economist признал экономику Украины худшей из всего мира,дальше следует Гвинея и несколько африканских стран.;2;;И4;4.0
6404;69950;192339;161055686;191793;25106701;2015-05-02 15:02:04;Кстати .в гвинее-ископаемых.жри не хочу.как и в России.как и в Укропии.земля родит все!Может от от народа все зависит?);0;;Ш4;4.0
6405;69951;192365;133867522;191793;25106701;2015-05-02 17:32:22;http://vk.com/photo-25106701_363880861;0;;;
