;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;интетнт-анализ;контент-анализ
6162;18348;257285;82853210;257284;25106701;2015-11-02 10:52:28;Брежневское наследство...А что вове Патриарх Кирилл и Академик Кадыров создали?;4;;Ц2;3.0
6163;18349;257287;179042584;257284;25106701;2015-11-02 10:57:36;[id82853210|Сергей], послушное население;3;;ж3;4.0
6164;18350;257288;154403889;257284;25106701;2015-11-02 10:58:27;[id179042584|Иван], сильнее всякого оружия! );0;;ж3;4.0
6165;18351;257290;82853210;257284;25106701;2015-11-02 10:59:15;[id179042584|Иван], население,-согласен.Да какой толк от населения,когда Граждан от них воротит?;0;;б3,Ч4;4.0
6166;18352;257291;149157143;257284;25106701;2015-11-02 10:59:36;[id82853210|Сергей], бред. Ты еще Хрущева и Курчатова сравни. У названных тобой лиц совсем другие функции.;2;;б3, Ч3;3.0
6167;18353;257292;1834301;257284;25106701;2015-11-02 11:00:09;[id82853210|Сергей], говном запахло((...;1;;л3;4.0
6168;18354;257293;82853210;257284;25106701;2015-11-02 11:00:55;[id149157143|Максим], ля-ля-тополя..А результат,-Суперджет до первой горы и позорная Армата,которой и по площади проехать не по силам...;0;;Н3;2.0
6169;18355;257295;199872237;257284;25106701;2015-11-02 11:01:56;Тут ареал обитания отбросо-либералов.;0;;л3;4.0
6170;18356;257301;285403593;257284;25106701;2015-11-02 11:04:05;Сер— гей, ТЫ ВОИН ИНЕТА?-НЕТ -ТЫ КОРОЛЬ МИНЕТА http://vk.com/doc285403593_403427957;0;;л3;4.0
6171;18357;257305;102107198;257284;25106701;2015-11-02 11:07:12;[id82853210|Сергей], Ну для начала ,Армата очень сильный танк ,и все боевые характеристики ,превышают и Абрамся ,все ныне имеющиеся танки ,да есть минусы ,но они есть у всех ,говорю не для того чтоб воздух сотресать .азнаю это с точность;0;;О1;3.0
6172;18358;257306;82853210;257284;25106701;2015-11-02 11:07:20;[id164187692|Андрей], при том,что на Красной Площади и то на тросах таскали.А бою,на бездорожье,это учебная мишень,не более.;0;;Н4;4.0
6173;18359;257307;82853210;257284;25106701;2015-11-02 11:08:53;[id102107198|Олег], не смеши...Всё новое прячут.Только воры хотели от безысходности ей повыёживаться,да только опозорились...;0;;б3, ж3;3.0
6174;18360;257308;300045997;257284;25106701;2015-11-02 11:09:45;Вышиватник Мерошниченко СБУшный тролль из Киева. Холоп подпендосников Тягнибока, Яроша. Трупчинова, Авакова Яценюха и Пораженко;0;;л3;4.0
6175;18361;257310;102107198;257284;25106701;2015-11-02 11:11:00;Ну коль ты говоришь о позоре ,то говори фактами ,в чем опозорились ,да и щас смысла прятать нет ,это все показали для устрашения ,так же как и новые крылаиые ракеты ,засирать страну и нашу армию проще всего !будьте потриотичнее;0;;р3, з3;4.0
6176;18362;257311;164187692;257284;25106701;2015-11-02 11:11:32;Эта машина 4 месяца подряд ездила без косяков на парадной площадке в алабино. То что она заглохла это человеческий фактор. 7 мая, генеральная репетиция мех.вод. волновался вот и заглох;0;;Ф3;4.0
6177;18363;257312;102107198;257284;25106701;2015-11-02 11:11:37;патриотичнее;0;;з3;2.0
6178;18364;257313;82853210;257284;25106701;2015-11-02 11:12:00;[id102107198|Олег], слушай,нафига ты мне сдался? Ликбез за плату,если школу прогуливал.;0;;н3;4.0
6179;18365;257314;300045997;257284;25106701;2015-11-02 11:14:22;[id164187692|Андрей], Вы киевским майданутым зомби объясняете то что их не касается. Они сидят в своей убогой Ук-Руине с холодными батареями под одеялами и строчат тут портянки за гривны СБУ.;4;;л3;4.0
6180;18366;257316;190576448;257284;25106701;2015-11-02 11:19:44;Я в этом году летал на суперджете - очень приятное впечатление осталось, довольно комфортный корабль;0;;е1, О1;4.0
6181;18367;257317;82853210;257284;25106701;2015-11-02 11:20:26;Про эту Армату позорную уже и Гавнокомандующий старается забыть,только недалекие патриоты все еще гордятся! Зажигание позднее...;0;;И4, н3;4.0
6182;18368;257318;190576448;257284;25106701;2015-11-02 11:22:56;Вы в наш огород все камушки кидаете, а что создали у Вас за 23 года  незалэжности  ?;0;;Т3;4.0
6183;18369;257319;82853210;257284;25106701;2015-11-02 11:26:21;[id190576448|Алексей], ни-фи-га!!! Я тоже   у вас . Как и Тимченко с Матвиенко.И ноль у других,свой ноль не отменяет.;1;;б3, П3;4.0
6184;18370;257322;316530684;257284;25106701;2015-11-02 11:29:07;о мирош холоп мой беглый уже с утра кукарекает;0;;л3;4.0
6185;18371;257324;190576448;257284;25106701;2015-11-02 11:29:29;А Ангару тоже не создавали?;0;;а3 ;2.0
6186;18372;257326;82853210;257284;25106701;2015-11-02 11:30:28;[id190576448|Алексей], Брежневская инерция затухающая...Да и где эта Ангара? В телевизоре...;0;;ж3;3.0
6187;18373;257327;190576448;257284;25106701;2015-11-02 11:33:46;Скоро примут в эксплуатацию, пока испытывают... И в космос отправляют космонавтов сейчас только из России.... Вы не видите бревно в своем глазу, а в нашем соринки ищите;0;;Ф3, п4;4.0
6188;18374;257330;82853210;257284;25106701;2015-11-02 11:37:31;[id190576448|Алексей], наивный вы...Мне  скоро  и коммунизм в 1980 обещали и квартиру в 2000 и догоним Португалию!,недавно...Вы им верите,что ли???Они уже на космодроме Восточный обосрались! Привезли с Самары ракету Энергия,а она больше чем цеха для ее обслуживания!!! Это коллапс.Всё,Брежневское подъели,приехали!!!;0;;Ч3, Т4;4.0
6189;18375;257335;190576448;257284;25106701;2015-11-02 11:45:19;А я не жду подачек, и не прошу ни у кого пошел и купил себе квартиру, машину... Работать просто надо, а таких дармоедов как Вы в стране достаточно, вечно не довольных. В ваших любимых штатах государство тоже не выдает квартиры, там все в долг живут.;0;;К3, п3;4.0
6190;18376;257336;151875207;257284;25106701;2015-11-02 11:47:10;[id190576448|Алексей], не  кормите  этого тролля Мирошниченко. Он во всех пабликах кипятком ссыт про то, как все плохо в РФ, и как хорошо в Украине.;1;;з3, л3;4.0
6191;18377;257337;13267047;257284;25106701;2015-11-02 11:47:23;[id190576448|Алексей], да это троль галимый его только н..й посылать годится. ты на его страницу зайди.;1;;в3, л3, р3;4.0
6192;18378;257338;31507508;257284;25106701;2015-11-02 11:47:49;.....Привезли с Самары ракету Энергия,...Назад в будущее 5;0;;ш4;4.0
6193;18379;257340;82853210;257284;25106701;2015-11-02 11:49:16;[id190576448|Алексей], да не будет у тебя завтра и на хлеб.вове корона мозгХ натерла,не жилось ему при нефти 140 баксов,почему то умным себя возомнил.Вот ему и показывают,кто он на самом деле.Сегодня нефть уже 43,а завтра выпускают Иран и она будет 10 баксов.А больше в стране ничего нет .Плешивый вор все убил.;0;;и3, ж4, л4;3.0
6194;18380;257343;82853210;257284;25106701;2015-11-02 11:50:37;[id31507508|Сергей], щас ссыль поищу...;0;;Ц3 ;4.0
6195;18381;257344;190576448;257284;25106701;2015-11-02 11:51:04;Да я понимаю, что таким людям бесполезно что-то доказывать.... Использованный материал, паразитирующий на теле нашей Страны;2;;п3,Л3;4.0
6196;18382;257345;316530684;257284;25106701;2015-11-02 11:51:39;[id82853210|Сергей], какой же ты плакса ноешь ноешь ))) одним словом холоп у холуй));1;;л3;4.0
6197;18383;257347;82853210;257284;25106701;2015-11-02 11:52:57;[id316530684|Ибрагим], в горы,в горы...Паразит-нахлебник! Удобно на Ване устроился,слезать не хочешь...;0;;л3;4.0
6198;18384;257349;82853210;257284;25106701;2015-11-02 11:53:20;[id190576448|Алексей], http://sethead.ru/2015/10/06/samarskaya-raketa-soyuz-2-1a-ne-proshla-po-gabaritam/;0;;;
6199;18385;257351;190576448;257284;25106701;2015-11-02 11:54:55;У меня и завтра будет на что жить, и у моих детей, а вам я сочувствую...;0;;Ц3;4.0
6200;18386;257353;82853210;257284;25106701;2015-11-02 11:55:55;[id190576448|Алексей], патриотично,конечно,но ошибаешься! Голодная толпа отберет,а тебя расстреляет.;0;;М3;4.0
6201;18387;257355;31507508;257284;25106701;2015-11-02 11:56:57;[id82853210|Сергей], (1)это старый фейк,(2) ракета Энергия не производиться уже лет 20(3) в Самаре производиться РН Союз. Тролльте про голодных пенсионеров, а в ракетно-космической тематике вам делать нечего.Отвечать не трудитесь, троллей не кормлю;0;;Ф3, Н3;4.0
6202;18388;257356;316530684;257284;25106701;2015-11-02 11:57:06;[id82853210|Сергей], не хрюкай холопка!!! пораженец все плохо жуликиворы все украли )) УРОД ТЫ МОРАЛЬНЫЙ!!!;0;;л3;4.0
6203;18389;257358;82853210;257284;25106701;2015-11-02 11:58:18;[id31507508|Сергей], http://www.rosbalt.ru/main/2015/10/01/1446500.html;0;;;
6204;18390;257359;82853210;257284;25106701;2015-11-02 11:59:12;[id316530684|Ибрагим], свали,чурка...;0;;л3, г3;4.0
6205;18391;257361;82853210;257284;25106701;2015-11-02 12:00:32;[id31507508|Сергей], еще надо? Могу...Навалом!!! http://v-kurier.ru/46813/samarskaya-raketa-soyuz-2-1a-ne-proshla-po-gabaritam/;0;;;
6206;18392;257362;316530684;257284;25106701;2015-11-02 12:00:32;[id82853210|Сергей], ТЫ ЕЩЕ И НАЦИСТ)) ЕСТЬ ТАКАЯ СТАТЬЯ В УК);0;;т3,У3;4.0
6207;18393;257364;190576448;257284;25106701;2015-11-02 12:01:29;Хахаха ?? ну ты даешь, такого бреда я еще не встречал. К Вашему сведению, в моем  селе  с населением в 500 тыс.чел довольно хороший уровень жизни;0;;е1;4.0
6208;18394;257365;82853210;257284;25106701;2015-11-02 12:02:42;[id190576448|Алексей], пока...На Совке допаразитируем...А из путинского только Озеро и список ФОРБС...;0;;Т3;4.0
6209;18395;257366;82853210;257284;25106701;2015-11-02 12:03:50;[id316530684|Ибрагим], засунь ее себе в черный зад...;0;;л3;4.0
6210;18396;257367;190576448;257284;25106701;2015-11-02 12:03:57;Когда расстреливать меня придешь, мушку спили, а то неприятные ощущения могут возникнуть от нее в заднем проходе;1;;м3;4.0
6211;18397;257369;82853210;257284;25106701;2015-11-02 12:05:15;[id190576448|Алексей], мне до тебя далеко.Соседи придут.Людоедством занимаются,а уж соседа жирного пограбить...;0;;е1, М3;4.0
6212;18398;257370;190576448;257284;25106701;2015-11-02 12:05:40;А ты что сделал для страны, чтобы жить стало лучше ( по крайней мере тебе) ?;0;;П3;4.0
6213;18399;257371;82853210;257284;25106701;2015-11-02 12:06:39;[id190576448|Алексей], с ее врагами вот борюсь.Вас ,темноту,просвещаюА вова твой кроме вреда ей ничего не принес.;0;;е1, Ф3,Т4;4.0
6214;18400;257372;190576448;257284;25106701;2015-11-02 12:07:42;Я за себя отвечаю, а ты спихиваешь все на других, в этом и разница между нами. Разговор окончен, можешь не утруждать себя и не отвечать!;0;;Ч3,г3;4.0
6215;18401;257373;316530684;257284;25106701;2015-11-02 12:08:30;[id82853210|Сергей], ты такой смелый !! иди на улице скажи кавказцу что он чурка) смелости не хватит);0;;с3, н3;4.0
6216;18402;257374;82853210;257284;25106701;2015-11-02 12:08:55;[id190576448|Алексей], потому что я Гражданин и живу не в безвоздушном пространстве.А ты,как кулак -еденоличник,которого завтра расстреляют.;0;;е3, и3;4.0
6217;18403;257376;316530684;257284;25106701;2015-11-02 12:09:22;[id82853210|Сергей], а кто эти враги с которыми ты борешься и как ты это делаешь?;0;;а3;4.0
6218;18404;257377;82853210;257284;25106701;2015-11-02 12:10:12;[id316530684|Ибрагим], ты,задрот Средневековый...Сваливай к себе в горы...;0;;л3;4.0
6219;18405;257378;190576448;257284;25106701;2015-11-02 12:11:24;Как у Сервантеса, с мельницами борется)));1;;ш3;4.0
6220;18406;257380;316530684;257284;25106701;2015-11-02 12:12:19;[id82853210|Сергей], мой задрот тебе в рот не влезет )) или хочешь попробовать ?;0;;л3;4.0
6221;18407;257386;286706239;257284;25106701;2015-11-02 12:22:03;[id82853210|Сергей], что-то не нравится? чемодан, вокзал, Англия. Вас КРЫС там любят!;0;;г3, л3;4.0
