;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;
0;72260;188473;98040645;188438;25106701;21.04.2015 18:47;Все верно!!;2;В2;2
1;72261;188476;142778128;188438;25106701;21.04.2015 18:48;ну и пусть сидят со своей Кончитой;1;Ц2;4
2;72262;188479;11750781;188438;25106701;21.04.2015 18:52;Звучит как  Германия недовольна, что проиграв тотальную войну, она стала оккупирована;3;Ц4;4
3;72263;188480;176081084;188438;25106701;21.04.2015 18:53; Тогдашние политики . Ок.;0;Ч4;4
4;72264;188482;58708068;188438;25106701;21.04.2015 18:55;ОТКУДА у солдата ссср 2 кольца на руке?? Что то мне подсказывает что этот освободитель -ВОР!!!;0;Щ4;4
5;72265;188486;160719927;188438;25106701;21.04.2015 18:59;А французы при чем, при освобождение Австрии!?);2;А3;4
6;72266;188491;98040645;188438;25106701;21.04.2015 19:03;[id58708068|Игорь], и у американца кольцо и часы.! подозрительно...все солдаты воры....));1;Ш3;4
7;72267;188498;288161539;188438;25106701;21.04.2015 19:07;Прямой эфир с Борисом Корчевниковым 21.04.2015 <br><br>https://www.youtube.com/watch?v=k_jO4ON8M38 http://vk.com/video288161539_171496049;1;Ж4;4
8;72268;188499;12025189;188438;25106701;21.04.2015 19:07;Чтобы вы тут все не обольщались.После войны Сталин назначил ветеранам пенсию в 4 рубля в месяц.Остальным категориям населения СССР пенсии не платили совсем. Весь Советский Союз потом ходил почти до конца 50х годов в немецких кожаных пальто и в немецких яловых сапогах.;0;Б3,Щ4;4
9;72269;188500;58708068;188438;25106701;21.04.2015 19:09;[id98040645|Михаил], Сравнили США И ИХ ГРАЖДАН С нищей ссср...Часы кольца и т.д и машины и дома покупали простые американцы..Они ГРАЖДАНЕ ВЕЛИКОЙ СТРАНЫ СВОБОДЫ И ДЕМОКРАТИИ.. многие русские унитаз увидев в Германии в нем головы мыли ...не понимая для чего он....Почитайте воспоминания солдат ссср...;0;С3,Н4;4
10;72270;188501;176081084;188438;25106701;21.04.2015 19:09;[id12025189|Дмитрий], после (во время) войны, вообще-то, фактически вся - самая важная, индустриально-развитая - европейская часть СССР была сравнена с землей.;1;Б3,Ф3;4
11;72271;188503;98040645;188438;25106701;21.04.2015 19:10;[id58708068|Игорь], а причем тут два медных кольца? и к чему тут великая пропаганда великой страны?;1;Б3,Ф3;4
12;72272;188504;176081084;188438;25106701;21.04.2015 19:10;[id58708068|Игорь], а может это не воспоминания солдат СССР, а лишь ваши нео-бендеровские сказки? ??;4;Н4;4
13;72273;188507;176081084;188438;25106701;21.04.2015 19:13;[id58708068|Игорь], смотрите, темой ниже - обсуждение ЛГТБ, по вам топик, я полагаю: перемещайтесь. http://vk.com/photo-25106701_362708451;0;С3;4
14;72274;188508;58708068;188438;25106701;21.04.2015 19:13;[id98040645|Михаил], РАССМЕШИЛИ...МЕДНЫЕ..2 кольца..Посмотрите фото установка флагов на РЕЙХСТАГЕ. БЕЗ РЕТУШИ..ПО 2 -3 ЧАСОВ на каждой руке...Про изнасиованных..ограбленных...убитых мирных граждан...читайте все есть...А я еще тех кто до Рейхстага дошел лично хоронил.;0;Б3,Щ4;4
15;72275;188509;176081084;188438;25106701;21.04.2015 19:14;[id58708068|Игорь], именно так, называется: предвестник репараций. Ведь эти часы предварительно были вывезены гитлеровцами из разоренного СССР, как трофеи их грабежа и вакханалии.;0;Ф4,Т4;4
16;72276;188510;58708068;188438;25106701;21.04.2015 19:14;[id176081084|Евгений], Это у вас с голове сказки...а кольца на руках вора ссср это быль.;0;Ф3,Н4;4
17;72277;188511;98040645;188438;25106701;21.04.2015 19:15;[id58708068|Игорь], изнасиованных..ограбленных...убитых мирных граждан-это ты про немецкие подвиги написал?;3;Т4;4
18;72278;188512;176081084;188438;25106701;21.04.2015 19:16;[id58708068|Игорь], какого же вора!? Ведь это лишь возвращенное обратно, а именно - предвестник репараций. Т.к. эти часы и всё прочее, очевидно, не что иное, как трофеи грабежа, вывезенные до этого гитлеровцами из разграбленного и разоренного СССР в Германию.;1;Ф4;4
19;72279;188513;176081084;188438;25106701;21.04.2015 19:20;[id98040645|Михаил], я думаю, про более близкие ему самому - предательские, власово-бандеровские.;1;Щ3;4
20;72280;188515;58708068;188438;25106701;21.04.2015 19:27;[id176081084|Евгений], превет савушкино..На ужин выползли..Зря..Блокирую.ВЫК.;0;Ц3,Г3;4
21;72281;188517;58708068;188438;25106701;21.04.2015 19:28;[id98040645|Михаил], Нет это про армию ссср в Германии ...Австрии..;0;Б3;4
22;72282;188518;176081084;188438;25106701;21.04.2015 19:29;[id58708068|Игорь], ну, ответов на вопросы, разрушающие ваше скудоумие, как я вижу - нет. Какая-то нелепая мантра лишь. Ок.;2;Ч3;4
23;72283;188532;98040645;188438;25106701;21.04.2015 19:40;[id58708068|Игорь], тогда забыл написать как на работу в ссср молодежь угоняли.как кровь у детей брали.как евреев сжигали ...что так выборочно?;1;Н3;4
24;72284;188535;58708068;188438;25106701;21.04.2015 19:41;[id98040645|Михаил], И это было..и БЫЛ НЮРБЕРГСКИЙ ПРОЦЕС..И КАТЫНЬ И РАССТРЕЛЕННЫЕ нквд 22000 поляков..Было все это война...;0;В3,Ж3;4
25;72285;188537;98040645;188438;25106701;21.04.2015 19:42;[id58708068|Игорь], и что самое поразительное страны демократии им помогали! вот сволочи!да еще и обнимались с советскими солдатами!;1;Т4,С3;4
26;72286;188540;58708068;188438;25106701;21.04.2015 19:43;[id98040645|Михаил], ПОЛИТИКА....что бы убить самую опасную сволочь..поможем чуть менее опасной..Сталинизм...фашизм...путинизм...РАЗНИЦЫ ни какой ни в чем.;0;Щ4;4
