;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;интенет-анализ;Unnamed: 10
5282;84368;174864;17287035;174863;25106701;2015-03-16 16:18:38;Что имеется ввиду под часто употребляемым словом  режим ?;4;;а2;1.0
5283;84369;174865;255727208;174863;25106701;2015-03-16 16:21:24;Интересно что же они имеют в виду под словом демократия? ??;10;;Ш2;1.0
5284;84370;174866;18328686;174863;25106701;2015-03-16 16:21:28;[id17287035|Денис], характеристика существующей системы власти, подаваемая в негативном ключе.;1;;И4;2.0
5285;84371;174867;8725350;174863;25106701;2015-03-16 16:22:07;[id255727208|Улечка], имеется в виду американский вариант охлократии, естественно!:);1;;И4;3.0
5286;84372;174868;51466400;174863;25106701;2015-03-16 16:22:13;А демократии, в прямом понимании этого понятия, вообще не существует. Народ никогда не правил, не правит, и не будет править. Это очевидно любому разумному человеку. Демократия - это такая изощрённая религия, придуманная капиталистами для того чтобы забрать власть у Бога.;13;;И4;3.0
5287;84373;174869;137452222;174863;25106701;2015-03-16 16:23:15;Китай намотав на траки танков студентов в 1989 на площади небесного спокойствия , доказал что это самый действенный способ борьбы с майданом . Что и доказало процветание КНР в последущее поколение http://vk.com/photo137452222_338525092;6;;Ц4;3.0
5288;84374;174870;17287035;174863;25106701;2015-03-16 16:23:15;[id18328686|Сергей], по-моему нет в мире системы власти которую можно охарактеризовать негативнее,чем  США. Но почему то никто их и уж тем более они сами себя  режимом  никогда не называют...;1;;А3;4.0
5289;84375;174871;223034241;174863;25106701;2015-03-16 16:23:19;[id51466400|Сергей], так взбунтуемся же и вернем власть Богу!!!!!;0;;Ш3;4.0
5290;84376;174872;51466400;174863;25106701;2015-03-16 16:24:00;[id223034241|Александр], это уже невозможно.;0;;ж3;4.0
5291;84377;174873;226542029;174863;25106701;2015-03-16 16:24:18;Новейшая история показывает, что  демократия  приказала долго жить. В США и Европе правят клики или какие-то теневые структуры, и нет никакой демократии. Не понятно и определение  режим  в отношении нашей страны?;0;;И4;4.0
5292;84378;174874;223034241;174863;25106701;2015-03-16 16:24:24;[id51466400|Сергей], бог устал нас любить?;0;;Ш3;4.0
5293;84379;174875;18328686;174863;25106701;2015-03-16 16:25:49;[id17287035|Денис], потому что придумывать запоминающиеся слова и понятия и пропагандировать их - это их фишка.;0;;Ч3;4.0
5294;84380;174876;41491268;174863;25106701;2015-03-16 16:25:53;Русские Рабы от природы! Им не нужна Демократия граждан!;0;;л4;3.0
5295;84381;174877;51466400;174863;25106701;2015-03-16 16:26:19;[id223034241|Александр], нет. Не в этом дело. Бог нас сильно любит, просто Бог теперь называется другим словом. Угадайте с одного раза, каким же. );0;;б3, Ш3;4.0
5296;84382;174878;41491268;174863;25106701;2015-03-16 16:26:24;И это очень печально!;0;;д3;4.0
5297;84383;174880;223034241;174863;25106701;2015-03-16 16:26:57;[id51466400|Сергей], Путин?(;0;;Ш3;4.0
5298;84384;174881;19795982;174863;25106701;2015-03-16 16:27:28;[id17287035|Денис], пое..ёмся и лежим));0;;ц3;4.0
5299;84385;174882;51466400;174863;25106701;2015-03-16 16:28:08;[id223034241|Александр], нет, что вы. Это вообще не человек. И это не кто - а что.;1;;б3, ж3;4.0
5300;84386;174883;17287035;174863;25106701;2015-03-16 16:28:47;[id18328686|Сергей], даже многие деятели циркового искусства могли бы им позавидовать;0;;ж3;4.0
5301;84387;174884;24120971;174863;25106701;2015-03-16 16:32:55;Демократия ? а где она есть?! это понятие иллюзия , хотя нет Исландия , где народ писал сам конституцию !;3;;И4;4.0
5302;84388;174885;137452222;174863;25106701;2015-03-16 16:36:11;[id41491268|Софрон], демократия это с*сать у госдепа ? Это получать гранты за развал своей страны на 15-20 квазигосударств и лишении её ЯО ? Так вот . Вам либерастам нужно молится на доброго Путина . Потому что когда к власти придёт полковник Квачков ( это условно ) таких как вы предателей будут не в мусорные баки кидать ( как в  светоче демократии потрошненковской усраине   ) а ... ну вы сами поймёте что будут делать ??;2;;Ч3,М3;4.0
5303;84389;174886;41491268;174863;25106701;2015-03-16 16:37:13;[id137452222|Владимир], Полковника Квачкова засадил всерьёз и надолго Солнцеликий.. В тюрьме он и сгниёт!;0;;У4;4.0
5304;84390;174888;13843787;174863;25106701;2015-03-16 16:37:31;демократия ли в Германии?;0;;а2;4.0
5305;84391;174889;255727208;174863;25106701;2015-03-16 16:38:05;[id51466400|Сергей], а вы   что ? Чем отличаетесь кроме отвратительной вони?;0;;Л3;4.0
5306;84392;174891;41491268;174863;25106701;2015-03-16 16:39:37;[id51430676|Геннадий], Ну да.. А почему ))) Где же были  свободные  русские люди, когда Солнцеликий звёзды героя давал Человеку отрезавшему головы Русским солдатам???? Где  свободные  русские были когда Солнцеликий земли Раздавал Китаю на р. Амур?? )) Да рабы русские и нет в этом ничего плохого или хорошего это данность. Вам даже оружие запретили иметь.. ));0;;Т4;4.0
5307;84393;174892;137452222;174863;25106701;2015-03-16 16:40:05;[id41491268|Софрон], не смеши меня ))))))) Я же пояснил  условный  пролковник Квачков . Уж поверь в нашем генштабе много таких генералов , только ждущих часа  Икс  . И тогда наитемнейший вам покажется светочем демократии http://vk.com/photo137452222_352828931;0;;К3,И4;4.0
5308;84394;174893;41491268;174863;25106701;2015-03-16 16:42:22;[id51430676|Геннадий], А где были  свободные  Русские когда Цапки жён, сестёр и дочерей сотнями насиловали в Кущёвке???;0;;С3;4.0
5309;84395;174894;51430676;174863;25106701;2015-03-16 16:42:22;[id41491268|Софрон], я уже спорил с одним дегенератом по этому поводу. Могу поспорить и с тобой. Приведи доказательства, что Кадыров убивал русских и тем более резал головы русским солдатам. Если ты не лжешь, то сможешь привести доказательства.;0;;е1, р3;4.0
5310;84396;174895;278596496;174863;25106701;2015-03-16 16:42:40;Великий француз Жан-Жак Руссо, разработавший прямую форму правления народа государством - прямую демократию, - которая используется и по сей день, однажды сделал весьма любопытное заявление. Он сообщил, что идеальная демократия может существовать лишь в таком обществе, гражданами которого являются исключительно боги. Советуем авторам статьи и всему политическому бомонду Запада обратить внимание на принципиальный вывод Жан Жака Руссо. Прежде чем учить Россию демократии, убедитесь, а существует ли она в западных государствах, насквозь пропитанных политической бесовщиной, далекой от традиционных - общечеловеческих либеральных - ценностей, которыми живет Россия и строит НОРМАЛЬНУЮ И РЕАЛЬНУЮ ДЕМОКРАТИЮ...;0;;И4;3.0
5311;84397;174896;41491268;174863;25106701;2015-03-16 16:42:51;[id51430676|Геннадий], А я разве про Рамзана что то сказал??? )));0;;а3;4.0
5312;84398;174897;51430676;174863;25106701;2015-03-16 16:43:36;[id41491268|Софрон], что-то новенькое )) Так, кто же это тот герой?;0;;а3;4.0
5313;84399;174898;41491268;174863;25106701;2015-03-16 16:43:48;[id51430676|Геннадий], Да и доказательства Вам не нужны. Вы любую информацию опровергать с пеной у рта будите!;0;;н3;4.0
5314;84400;174899;13563371;174863;25106701;2015-03-16 16:44:35;сначала индейцев из резерваций освободите и цветных не убивайте-поэтому такое демо нам не авторитет;0;;н4;4.0
