;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;Интент;Контент
1091;7843;21917;100663304;21914;21337773;2015-04-10 22:28:30;http://vk.com/photo-21337773_361246071;0;;Ш4;2
1092;7844;21925;264575105;21914;21337773;2015-04-11 00:36:41;http://vk.com/photo-21337773_361262251;0;;Ш4;2
1093;7845;21934;284557215;21914;21337773;2015-04-11 12:18:10;http://vk.com/photo-21337773_361289321;0;;Ш4;2
1094;7846;21935;139095421;21914;21337773;2015-04-11 13:55:01;http://vk.com/photo139095421_358545914 http://vk.com/photo-21337773_361296550;0;;Ш4;2
1095;7847;21937;59192830;21914;21337773;2015-04-11 17:38:11;[id139095421|Віктор], http://vk.com/photo-21337773_361318545 http://vk.com/photo-21337773_361318546;0;;Ш4;3
1096;7848;21938;59192830;21914;21337773;2015-04-11 17:38:50;http://vk.com/photo-21337773_361318630 http://vk.com/photo-21337773_361318631;0;;Ш4;3
1097;7849;21939;59192830;21914;21337773;2015-04-11 17:39:17;http://vk.com/photo-21337773_361318682 http://vk.com/photo-21337773_361318683;0;;Ш4;3
1098;7850;21940;139095421;21914;21337773;2015-04-11 17:40:52;[id59192830|Максим], http://vk.com/photo-21337773_361318860;0;;А3;4
1099;7851;21942;59192830;21914;21337773;2015-04-11 17:41:12;[id139095421|Віктор], http://vk.com/photo59192830_317259664 http://vk.com/photo59192830_331724896;0;;Ш4;4
1100;7852;21943;139095421;21914;21337773;2015-04-11 17:48:03;[id59192830|Максим], http://vk.com/photo-21337773_361319846 http://vk.com/photo-21337773_361319847;0;;Ш4;4
1101;7853;21944;59192830;21914;21337773;2015-04-11 17:48:45;[id139095421|Віктор], http://vk.com/photo-21337773_361319909 http://vk.com/photo-21337773_361319910;0;;Ш4;4
1102;7854;21945;139095421;21914;21337773;2015-04-11 17:49:16;[id59192830|Максим], http://vk.com/photo-21337773_361319942 http://vk.com/photo-21337773_361319943;0;;Ш4;4
1103;7855;21946;59192830;21914;21337773;2015-04-11 17:50:12;[id139095421|Віктор], http://vk.com/photo-21337773_361320034 http://vk.com/photo-21337773_361320035;0;;Ш4;4
