;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;
368;5461;26236;138259736;26234;21337773;25.06.2015 0:12;Вопрос не корректный: реальный процент или виртуальный? Если виртуальный, то 95 и более, а если реальный, то процентов 65-75. Лично мое мнение.;0;И4;1
369;5462;26237;126471546;26234;21337773;25.06.2015 0:16;надо было ошейник на г. Чурове рисовать.);0;С4;3
370;5463;26238;5580128;26234;21337773;25.06.2015 0:16;[id138259736|Артем], а если вычесть зависимых бюджетников то?;2;Н4;2
371;5464;26239;3347188;26234;21337773;25.06.2015 0:16;Так 146;1;Ш4;1
372;5465;26240;138259736;26234;21337773;25.06.2015 0:17;[id5580128|Николай], все равно 50-60, они реально на него молятся, как на сталина в свое время;2;И4;2
373;5466;26241;3505135;26234;21337773;25.06.2015 0:21;не менее 145 %;5;Ш4;1
374;5467;26242;301132849;26234;21337773;25.06.2015 0:44;146%;3;Ш4;1
375;5468;26243;16622396;26234;21337773;25.06.2015 0:46;Самый верный ответ и должны вы были его прописать в голосовании-это вариант со 146%.<br>Так как нет реальных 70 и 80% поддержки.<br>Если б она была-не было бы карусельных выборов!<br>;2;Щ4;3
376;5469;26245;36446476;26234;21337773;25.06.2015 1:03;Рейтинг - это цифры, а поддержка - жизни. Сколько людей готово пожертвовать собой в защиту путина, такой максимум поддержки. А ходить с плакатами, бить людей на улицах, кричать ура где ни попадя и молиться по указке это не поддержка. Это пугало.;0;П4;3
377;5470;26246;166751;26234;21337773;25.06.2015 1:13;Чаушеску за 2 месяца до расстрела поддержали 99%)));5;Ш4;3
378;5471;26247;11089999;26234;21337773;25.06.2015 1:48;Даже голосовать не особо хочется... <br>НО! Мой голос Путину потому что лучшей кандидатуры нет в стране. Вспоминаются интересные слова Товарища Зюганова, который набрал меньше 20% (насколько я помню) на президентских выборах в 2012 г:<br> Мы довольны нашим результатом... ;0;И4;4
379;5472;26248;137228946;26234;21337773;25.06.2015 2:46;Не смотря на масштабы страны, ВВ идёт в нужном направлении. Тяжело!! но всему,-своё время! Самое главное, что он не поддается на провокации( которых неменно)! Другого правителя в НАШЕЙ СТРАНЕ , я пока не вижу. Пусть немного ошибается, но людям свойственно ошибаться! Пусть где то умалчивает, но меньше знаем,-крепче спим!)) Он умеет признавать свои ошибки и исправлять их!;0;Х4;1
380;5473;26249;82853210;26234;21337773;25.06.2015 5:35;Другой  правитель ,нафиг не нужен,впрочем как и этот.Нужен наделенный народом чиновник,на обговоренный народом срок. А правители пусть идут лесом.;0;П4;3
381;5474;26250;9153594;26234;21337773;25.06.2015 6:23;146% не меньше чем на выборах.;0;Ш4;2
382;5475;26251;206177829;26234;21337773;25.06.2015 7:19;Народ зомбируют что кроме путина никто. А цены тем не менее растут в месте с рейтингом генсека.;0;Ч4;3
383;5476;26252;270927998;26234;21337773;25.06.2015 7:45;Умом Россию не понять!;0;Ж4;2
384;5477;26268;72041303;26234;21337773;25.06.2015 14:04;[id36446476|Александр], БОЛЬШИНСТВО РОССИЯН-ЗА ПУТИНА!УВАЖЕНИЕ ВЫЗЫВАЮТ ЕГО ДЕЙСТВИЯ В ВОЗРОЖДЕНИИ РОССИИ!ДА.ТРУДНО ЕМУ!НО РОССИЯ ВЫСТОИТ С ПОДДЕРЖКОЙ ПАТРИОТОВ СВОЕЙ РОДИНЫ!НАШЕЙ ПОДДЕРЖКОЙ!;0;Х4;3
385;5478;26269;72041303;26234;21337773;25.06.2015 14:05;[id206177829|Алексей], ЭТО СПАСИБО АМЕРИКЕ ЗА ЦЕНЫ!А ПУТИН ПРИ ЧЁМ!ВРОДЕ ИНФОРМАЦИИ ПОЛНО -ЧТО И ПОЧЕМУ!КТО ВИНОВАТ И ЧТО ДЕЛАТЬ!;0;Д4;4
386;5479;26270;72041303;26234;21337773;25.06.2015 14:07;ДА-ДА-ДА!КАК В УСРАИНЕ!ЧТОБЫ БЫЛ СТАВЛЕННИКОМ АМЕРИКИ.РАСПРОДАЛ СТРАНУ ПО КУСКАМ И ЧТОБЫ НАРОД ОСТАЛСЯ С ГОЛОЙ ЖОПОЙ!ТАКОЙ ВАМ НУЖЕН??ЧТОБЫ ВОЙНА БЫЛА...ДА?;0;Ч4, А4;4
387;5480;26276;36446476;26234;21337773;25.06.2015 15:21;[id72041303|Наталья], а Вы их считали, это большинство-меньшинство? Какие Вам цифры дают, теми и пользуетесь. ) Мне до самого Путина дела нет. Поэтому мне совершенно не важно, поддерживает его кто-то или нет, нравится он кому-то или не нравится. Я тоже часть этой страны, и мне политика, которую проталкивают Путин и его друзья, не нравится. И я буду искать выход из ситуации. Даже если я останусь один-единственный, который будет не согласен с таким реваншистским курсом. Плюс ко всему, для меня Россия никогда не умирала, чтобы ее возрождать. Да были, есть и останутся проблемы, но какие страны без них? Да и что возрождать-то? Религию и царские обиды? Все остальное как было, так и осталось. Трудно ему, да, не спорю. Очень серьезный пост. Но это не его личный пост, и не его личная магистратура. В России, кроме Путина, достаточно людей, чтобы занять этот пост. Патриотизм к Путину отношения не имеет. Если кто-то считает себя патриотом, он любит Родину целиком, ее граждан, не делит ее на патриотов и не-патриотов, не выделяет любимчиков и презираемых, не тычет своих сограждан запрещенными книжками, не бьет их на улицах, не гонит их умирать, не цедит слова сквозь зубы, когда слышит вопросы и критику и т.д.;0;Н4;4
