;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;
1453;2309;85087;1457932;85086;32803139;25.09.2015 21:07;Бред какой. Пусть хохлы и проводят у себя эти марши;1;Ч4;2
1454;2310;85088;386650;85086;32803139;25.09.2015 21:18;[id1457932|Екатерина], спасибо огромное за ваше мнение. Можете не приходить.;2;Г3;2
1455;2311;85089;15965519;85086;32803139;25.09.2015 21:25;А что, разве мы с кем-то воюем?;0;А3;2
1456;2312;85090;294338546;85086;32803139;25.09.2015 21:56;Выборы, состоявшиеся 13 сентября 2015 г. мы считаем неконституционными, нарушающими наши права и не отражающими наши волю. <br>К участию в выборах не были допущены кандидаты и списки кандидатов, выдвинутые от оппозиционных политических партий.<br>Среди зарегистрированных кандидатов отсутствовали те, кому мы доверили бы представлять наши законные интересы. Сами выборы прошли с огромным количеством нарушений. Мы выражаем недоверие действующей власти и считаем ее нелегитимной.<br>http://www.youtube.com/watch?v=icrUNQLlOqs<br>http://volya-naroda.ru/news/read/?id=1891 http://vk.com/video294338546_171400132;2;Ч4;4
1457;2313;85091;92575879;85086;32803139;25.09.2015 23:17;Ребята, главное чтоб народ пришёл. <br>Так же можете распечатать выдержки из пособия Немцова. Листовки не запрещены. По минским договоренностям Донецкая и Луганская территория останется в Украине, хоть и на федеративных правах. А  русские бандюги должны отьехать.;2;З3,Т4;3
1458;2314;85092;44991606;85086;32803139;26.09.2015 1:39;не существует никаких несанкционированных публичных мероприятий;2;И4;4
1459;2315;85093;1457932;85086;32803139;26.09.2015 2:06;Больные люди тут сидят ??;0;Л3;4
1460;2316;85096;684097;85086;32803139;26.09.2015 11:36;Этот пост отличная антиреклама группы.;1;Н4;4
1461;2317;85099;175118514;85086;32803139;26.09.2015 13:35;За мир__это хорошо. Я бы вышел на марш за мир в Сирии, Ираке, Афганистане. Против саудитов и турок, поджигателей войны в Сирии и спонсоров международного исламизма. А против кого направлен пафос этого марша?;0;Ж4,Н4;3
1462;2318;85101;684097;85086;32803139;26.09.2015 14:34;[id175118514|Аларих], что-то мне подсказывет, что ответ тебе известен);0;Ш3;4
1463;2319;85114;175118514;85086;32803139;26.09.2015 23:10;[id684097|Захар], действительно, нетрудно представить, какой будет эта прогулка, и какое она реально может иметь отношение к делу мира. Будет сплошь украинская символика, как и раньше была на похожих акциях.<br> Но год назад, когда над массовым сознанием висела и была, по крайней мере, объяснима иллюзия втягивания России в конфликт на Украине, тогда людей, идущих на такой марш, хоть можно было по-человечески понять. Хотя ещё в марте прошлого года я говорил друзьям, что Россия в войну точно не ввяжется, а по поводу  покорения Крыма  вообще никто палец о палец не ударит__не о чем беспокоиться. Но то, чего они не понимали тогда, теперь-то уже можно считать полностью подтвердившимся. Войны России с Украиной нет, можно даже спокойно ездить к родственникам  на ту сторону .<br> Так чего же хотят теперь? Мира в Донбассе? А кто ж не хочет, хотя бы на словах? Но конфликт там__это же внутреннее дело самих граждан Украины, только они сами могут его разрешить. А мы причём?<br>Возможно будет завтра среди всех участников  народного гуляния  какое-то количество людей, всерьёз верящих, что стоит лишь здесь заставить нашего Путина провозгласить, что всё, мол, всё, завязываем и  лавочку сворачиваем , как тут же взлетят тысячи голубей мира)) и настанет мир и благодать во всём мире)))<br>Так вот не бывает так: и война, и заключение мира есть игра двухсторонняя, а то и многосторонняя, а если одна команда уйдёт с поля, то просто начнётся игра в одни ворота. А лично у меня на такие игры и такое  миротворчество  аллергия ещё со времён войн в Боснии и Косово, не говоря уже о недавней ливийской вакханалии  мира  и  торжества демократии (слава богу, хоть с Сирией у этих  ястребов мира  облом случился). Невозможно прекратить войну, когда только одна сторона желает мира, а другая рвётся в атаку и наглеет с каждым днём. А мы не забыли, ещё с одесского пожара, что по ту сторону границы окопались явно не голубки. <br>Успех одностороннего  принуждения к миру , как правило, приносит не мир, а резню и  vae victis .<br>Кто этого не понимает, тот вме;1;Щ4;3
