;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;
3566;5724;80945;79609;80944;32803139;19.03.2015 21:43;а если тока 1 этап?;0;Ж4;1
3567;5725;80946;1169819;80944;32803139;19.03.2015 21:43;[id79609|Константин], это ж сортировка, а не оценка. В любом случае можно отсортировать.;0;И4;2
3568;5726;80947;79609;80944;32803139;19.03.2015 21:44;[id1169819|Лев], сложно, если 1 период можно назвать более или менее правильным - а два других равноудаленным от этог опонятия?;1;Ж4;2
3569;5727;80948;1169819;80944;32803139;19.03.2015 21:45;[id79609|Константин], тогда в роспотребнадзор жалуйтесь :) к сожалению, в контакте можно не более 10 вариантов, всего не предусмотреть :(;1;Ш3,К4;4
3570;5728;80949;687602;80944;32803139;19.03.2015 21:56;Какая последовательность может быть?<br>Перестройка была необходима! +<br>Бандитские 90-е - общество пыталось бороться с криминалом и это почти получилось<br>Но тут пришли бандиты, организованные на государственном уровне - Гы-Бы-шники<br> - какой идиот называет это стабильностью??? Россия утоплена в дерьме ГБ-шников....;2;Ж4,Т4;3
3571;5729;80952;209523550;80944;32803139;19.03.2015 23:32;Я бы выбрала совершенно другие этапы в истории страны - времена Михаила Тверского или, например, Алексея Романова.;2;И4;3
3572;5730;80953;1741422;80944;32803139;20.03.2015 0:54;[id687602|Дмитрий], по моим наблюдениям, да и не только моим, в 90-е общество сидело обгадившись со страху и балдело от происходящего, и никакой борьбой там и не пахло. Все смотрели на криминально-олигархическую клику и слово поперёк сказать боялись.;0;Н4;3
3573;5731;80954;2668694;80944;32803139;20.03.2015 2:39;[id1741422|Сергей], в моем лице общество в 90-е работало в школе и балдело от того, что можно было делать все что угодно, и никакого миллиона взаимоисключающих указаний и идиотских бумажек не было. Страха я не помню, наоборот. А в нулевые у нас уже был пафосный педагогический конкурс под названием  Урок президенту  :(;6;Х4, Ч4;3
3574;5732;80955;168154272;80944;32803139;20.03.2015 8:59;[id1741422|Сергей], в 90-е было очень трудно материально, но была надежда и возможности. Некоторые, поураганив, даже смогли стать президентами. Теперь легче существовать, но полная безнадега. Я бы предпочел сейчас  лихие  90-е.;4;Ч4;2
3575;5733;80958;1741422;80944;32803139;20.03.2015 12:18;Да да с этим я знаком: распилил какой-нибудь завод на металлолом, оставшуюся землю продал, а с выручки погулял и купил ещё один завод под снос - шикарные перспективы, страна цветет и пахнет, хочешь - с голоду пухни, а хочешь - грабь кого только сможешь :  успехи в работе и радость семейной жизни. Это таким значит вы видите светлое будущее страны? Таким образом Болотные лидеры собирались улучшать благосостояние граждан и бороться с коррупцией? Ну вот заявите такую политическую программу и придите с ней на выборы я посмотрю кто за вас проголосует. Может вас и утаивает перспектива поживиться на тонущем корабле, но вот народ это не устраивает и если вы за честные выборы то должны отдавать себе в этом отчет.;0;Н3, Ч4;4
3576;5734;80959;1741422;80944;32803139;20.03.2015 12:22;Делай все что угодно это видимо означает, что по приходу на работу наливаешь себе чайку и говоришь:  Детки у вас сегодня выходной  - все рады и никто никому не выносит мозг....?;0;Ш4;4
3577;5735;80960;168154272;80944;32803139;20.03.2015 12:46;[id1741422|Сергей], вы по возрасту не могли быть с этим знакомы, как пишите. Похоже, что вы видите эту историю упрощённо до примитивного. Лично я в начале 90-х заводы на металлолом не  пилил , но много пилил древесины, так как занимался тогда производством столярных изделий. У меня была небольшая мастерская и 5-7 рабочих. В 2004 вынужден был всё закрыть. Убила аренда и налоги.;6;Е3,Ч4;4
3578;5736;80961;1741422;80944;32803139;20.03.2015 13:14;[id168154272|Андрей], Я эту историю знаю потому что у меня масса знакомых у которых на глазах всё разворачивалось, а некоторые и участвовали в этом, в частности я был свидетелем как выносили лаборатории ГОИ разрушая при этом ценнейшее оборудование сдавая его по цене лома. Выбирая между конторкой на 8 человек, которая пилит лес, при чём не известно как, и институтом оптики я бы с превеликой радостью оставил последний. Естественно что в 90-е никто не душил вас налогами потому что это было абсолютно не важно: ну копаются мыши в мусорной куче и пускай, все равно сейчас бульдозер проедет. Разница между 90-ми и нулевыми состоит в том что в 90-е было стремительное пике к развалу страны и гражданской войне, а в нулевые это пике удалось перевести в медленное сползание.;0;Ч4;4
3579;5737;80962;168154272;80944;32803139;20.03.2015 13:26;[id1741422|Сергей], специально для вас и других таких же, кто не видел, но от кого-то слышал, в Европейском университете по средам (в 18-00) профессор Дм. Травин читает лекции по периоду советского застоя. Исключительно полезно. Я постараюсь выложить на YouTube.;0;Р3;4
3580;5738;80964;1741422;80944;32803139;20.03.2015 13:40;Застой конечно коррелирует с событиями 90-х, которые как я уже вам говорил, а вы не пожелали услышать, я наблюдал лично, но одно дело застой а другое дело обвал.;0;Т3,Н4;4
3581;5739;80965;168154272;80944;32803139;20.03.2015 13:53;[id1741422|Сергей], обвал 90-х неизбежно вытекал их застоя. Это я вам точно говорю, как свидетель того и другого.;3;В4;4
3582;5740;80969;168154272;80944;32803139;20.03.2015 14:40;[id1741422|Сергей], если о 90-х говорить на уровне досужих разговоров, то всё уже сказал Ельцин:  Во всём виноват Чубайс . Если же разбираться по-серьезному, лучше начать с книги Е.Гайдара  Гибель империи . Там на документах и цифрах показано в каком состоянии оказался Советский Союз к середине 80-х. Я понимаю, что вы ненавидите Гайдара, но никто ещё так же документально его не опроверг.;1;Ш4, П4;4
3583;5741;80975;1741422;80944;32803139;20.03.2015 16:27;То есть вы думаете что в этой книге Гайдар даёт честную и объективную оценку своим действиям и той системе которую он ненавидел? Что же он говорит о политике дефицитных денег, которую он проводил и том как это сказывалось на стране? Что говорил он о том как совал пачки денег танковым командам, за расстрел белого дома во время ГКЧП?  Проблемы у СССР были, но их можно было решать, а не разваливать страну.;2;Ч4;4
3584;5742;80980;175118514;80944;32803139;20.03.2015 17:32;[id1741422|Сергей], наоборот, в 90-е говорить можно было о чём угодно и выражаться как угодно, даже ОМОН бить. Только это ни на что не влияло. Время было такое совершенно дурацкое, по-моему только чеченцы адекватно оценили ситуацию, остальные просто впали в ступор. Лично у меня было ощущение полного маразма вокруг и сюрреальности происходящего. Я ожидал, что до всех наконец дойдёт, что пора с этим кончать и браться за ум. Но в те годы взяться за ум значило взяться за оружие__силой прекратить бардак, поскольку всё остальное, повторюсь, ни на что не влияло. Потому я и вспомнил чеченов. В те годы я понял, что в России гражданской войны не будет никогда. У неё на это выработался железный иммунитет. Самые активные взялись тогда за оружие в частном порядке, добывая этим оружием либо блага жизни, либо место на кладбище.<br>Впрочем и сейчас мало что изменилось по сути, только нефть дороже__недовольных меньше, говно упаковано в красивые коробочки с этикетками и украшено государственными брендами.;0;Ч4;4
3585;5743;80981;2102258;80944;32803139;20.03.2015 17:38;[id1741422|Сергей], то, что было заложено в 90-ые - базовые принцпы рыночной экономики - как раз и позволило выжить при низких ценах на нефть, и повысить уровень жизни, когда нефть поднялась в цене. Более того, это и сейчас, при абсолютно провальных политических решениях несменяемого путина даёт механизмы спасения экономики от полного коллапса. Собственно, блага, которые мы имеем сейчас - оттуда. Из реформ 90-ых. А беды, которые мы имеем сейчас - из-за того, что не все реформы 90-ых были доведены до конца и реализовались. Прежде всего, мы оказались не в состоянии удержать в стране демократию.;2;Х4,Ч4;4
3586;5744;80982;168154272;80944;32803139;20.03.2015 18:17;[id1741422|Сергей], я не могу вам пересказать книгу, в которой 590 страниц с таблицами, диаграммами и сотнями ссылок на ДОКУМЕНТЫ. Вам, как и путину, удобней существовать в другой реальности, наполненной мифами и пропагандой. Но для тех, кто действительно хочет разобраться, эта книга очень полезна.;1;Ч3,Х4;4
3587;5745;80983;1741422;80944;32803139;20.03.2015 18:29;[id168154272|Андрей], Ну вам-то она плохо помогает ориентироваться в реальной политике, в вашем понимании, был неблагополучный период застоя, из которого выбрались путем хорошего падения в 90-х, потом случилось неизвестно что (Даниил что-то про демократию говорит, но после выборов Ельцина на второй срок, когда обсуждали вопрос изменения конституции, потому что у Ельцина был рейтинг 4% извините какая уж там демократия) и стало плохо.;0;Н3;4
3588;5746;80984;168154272;80944;32803139;20.03.2015 18:41;[id1741422|Сергей], в ваших словах уже что-то разумное проглядывает. Застой был действительно  неблагополучным  периодом (только не надо мне рассказывать, как хорошо жилось при Брежневе вам, новорожденному). Этот застой ЗАКОНОМЕРНО привел страну к экономическому краху, который сделал неизбежным крах политический. Гайдар провел тяжелые для людей, но абсолютно необходимые реформы, хотя и с ошибками, которые признает в своих книгах. Но  плодами  этих реформ воспользовалась Антанта, состоящая из криминала, гэбухи и номенклатуры. Народ при этом разделился на два лагеря - коммунисты и демократы, которые увлеченно мочили друг друга. Теперь мы вползаем в новый застой, и крах страны при этом также неизбежен. Вы ещё молодой, выучите китайский язык, и у вас все будет хорошо.;1;Ч4,П3;4
3589;5747;80991;29383383;80944;32803139;20.03.2015 22:41;[id168154272|Андрей], По поводу Гайдара Вам лучше обратиться к Явлинскому. Он уж точно непосредственный участник событий ,не согласный с Вашей точкой зрения (о Гайдаре) и экономист. Хотя бы уж так,для объективности.;0;Р3;4
3590;5748;80992;168154272;80944;32803139;20.03.2015 22:44;[id29383383|Вера], как только вы, для объективности прочтёте  Гибель империи , я с той же целью прочту что-нибудь из Явлинского. А что я неправильно изложил?;0;У4,К3;4
3591;5749;80993;29383383;80944;32803139;20.03.2015 22:52;[id168154272|Андрей],  Неправильно  быть не может,т.к. это Ваше мнение,но оно не совпадает с моим . Я знакома с работами Гайдара (выборочно,правда, врать не буду).;0;Ф3,О3;4
3592;5750;80994;168154272;80944;32803139;20.03.2015 22:56;[id29383383|Вера], так выскажите-же своё вИдение истории.;0;Р3;4
