;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;
3485;5789;80865;437329;80860;32803139;16.03.2015 0:50;я бы порекомендовала сначала собрать предложения, затем обсудить с юристами и м.б. на общей встрече, а затем отправлять;0;Р2;1
3486;5790;80869;186613057;80860;32803139;16.03.2015 1:20;Для начала, неплохо было бы проконтролировать изготовление и оборот самих бюллютеней. Для чего, необходимо им присваивать номер и серию, как у всех бланков  серьёзных  документов. Потом, неплохо бы обеспечить личную безопасность независимым наблюдателям и членам УИК, чтобы никто не смел их бить в морду и отправлять в кутузку по надуманным обвинениям. http://vk.com/photo-32803139_359203013;1;Р2;1
3487;5791;80871;1741219;80860;32803139;16.03.2015 1:58;[id186613057|Стас], нумерация бюллетеней создает предпосылки для нарушения тайны голосования.;0;Б3;1
3488;5792;80872;186613057;80860;32803139;16.03.2015 2:11;[id1741219|Виктор], а отсутствие нумерации создаёт предпосылки к мухляжу с досрочкой и др. Тем более, никто и не говорит о привязке определённого бюлютеня к определённому гражданину. Достаточно ограничится УИКом и сделать  бланком строгой отчётности . Лучше  создать предпосылки  к более серьёзному отношению к бюлютеню.;2;Р4;2
3489;5793;80873;1741219;80860;32803139;16.03.2015 2:17;[id186613057|Стас], я это понимаю, конечно, и в душе согласен. Но тайное голосование - один из принциов избирательного права (67-ФЗ, ст.7  Голосование на выборах и референдуме является тайным, исключающим возможность какого-либо контроля за волеизъявлением гражданина ). Изменить  основопологающий принцип , скорее всего, не удастся.<br><br>Бюллетени и так являются  бланками строгой отчетности . Их передают по акту, учитывают, пересчитывают. Пропажа бюллетеня - практически уголовное дело!;0;И4;2
3490;5794;80874;437329;80860;32803139;16.03.2015 2:53;Еще ни одного уголовного дела не завели из-за пропажи одного бюллетеня. А это на некоторых участках встречается нередко и не по одному разу.;1;Щ4;3
3491;5795;80881;5156359;80860;32803139;16.03.2015 12:19;Нумерация бюллетеней. Нумерация бюллетеней. Нумерация бюллетеней. И будет вам демократия.;1;И4;3
3492;5796;80882;168154272;80860;32803139;16.03.2015 12:58;Предлагаю ввести в стране выборы.;3;Ц4;3
3493;5797;80883;1741219;80860;32803139;16.03.2015 13:21;Ответ на сообщение http://vk.com/topic-32803139_31866558?post=12390<br><br>Вадим, я не просил Вас удалить Ваши посты, я просил их перенести в более подходящее место. Видимо зря, т.к. только увеличил количество таких сообщений. Формулирование этих предложений - это форма воздействия на ситуацию, форма выработки определенной программы, форма выражения коллективного несогласия с существующим правовым регулированием. Я тоже не верю, что все вот эти предложения будут в ближайшее время с радостью приняты. Но не заниматься этим - означает соглашаться с тем, что существует сейчас. Для некоторых это неприемлемо. Наконец, такая деятельность - это способ объяснить для себя, что нужно делать.;0;Ф3;4
3494;5798;80884;2102258;80860;32803139;16.03.2015 14:23;А вот я считаю, что у нас не в законах проблема, а в политической воле заставить их соблюдать. В Москве, на выборах мэра я имел очень поучительную беседу с председателем УИК. На президентских выборах они выполняли задачи по противостоянию  агентам госдепа . И у них просто ад стоял. Они и ЧПРГ удалили, и наблюдателей выгнали и т.д. Ну, и результат выдали правильный. А на выборах мэра им сверху иной сигнал дали - чтобы все наблюдатели довольны были. И выборы прошли идеально. Искренне уверен. У нас не в законе проблема, а в желании наладить порядок. И гниёт рыба, как всегда, с головы.;2;И4;2
3495;5799;80901;1741219;80860;32803139;17.03.2015 0:49;[id2102258|Даниил], а может с хвоста? Вот в принципе, какого фига должно быть УИКам до  задач  которые им  ставят , когда все задачи весьма точно поставлены в законе. Бери и делай. Зачем кого-то слушать?;1;Ж3;3
3496;5800;80902;233739184;80860;32803139;17.03.2015 1:02;Предложение одно: Пучнина - в отставку! Вместе с Чуровым.;1;С3;4
3497;5801;80905;2102258;80860;32803139;17.03.2015 12:28;[id1741219|Виктор], очень просто. Перевоспитывать сотни тысяч фальсификаторов и ждать, что они вдруг станут гражданскими активистами - малоперспективно. Быстрые позитивные изменения в РФ в этом направлении, увы, только сверху возможны. Мне фз67 вполне в целом нравится. Он вполне дает возможность обществу проводить честные выборы. :);0;Е3;3
3498;5802;80921;7458826;80860;32803139;18.03.2015 12:16;https://www.facebook.com/vadim.ermilov.3/posts/863915103672879?pnref=story<br>http://www.love.vadim.spb.ru/president.htm;0;Щ4;4
3499;5803;80923;5156359;80860;32803139;18.03.2015 13:34;[id1741219|Виктор], наверно есть смысл во всем этом , но  с прицелом на будущее, на постпутинский период.;0;В3;4
3500;5804;80931;1741219;80860;32803139;18.03.2015 20:42;[id5156359|Геннадий], да, наверное так. Первое лицо сменится, но это приведет к смене политики , а вся нормативно-правовая конструкция никуда просто так не денется...;0;В3;4
3501;5805;80938;29383383;80860;32803139;19.03.2015 5:37;Да.дополнения в закон - это хорошо. Но  де факто  и в этом виде закон грубо нарушается. Я с сентября столько бумаги извела...И со всем соглашаются,вроде (здесь нарушили,здесь силу применили,но дело заводить не будем! И хоть что с ними делайте. Посоветуете суд,конечно?! Я подам,только ни один в нашем районе не был выигран.(в городе тоже - единичные случаи). Есть хорошее высказывание : Сколько хочешь законов придумай, – если нет людей, которые держат закон, не будет ничего.  ( О нравственности);0;Е3;3
3502;5806;80967;175118514;80860;32803139;20.03.2015 14:19;[id2102258|Даниил], перевоспитать фальсификаторов можно вполне простыми, но эффективными методами общественного воздействия. Дёшево и сердито. Для претворения этого в жизнь не хватает лишь политической воли заинтересованных лиц и сообществ.;0;Б3;4
3503;5807;80968;2102258;80860;32803139;20.03.2015 14:25;[id175118514|Аларих], не  заинтересованных лиц и соообществ , а  лиц и сообществ, имеющих влияние . Согласитесь, это совершенно не одно и то же.;0;Б3;4
3504;5808;80972;175118514;80860;32803139;20.03.2015 15:54;Необходимо детализировать процедуру хранения и перевозки бюллетеней досрочного голосования:<br>1)хранить сейфы с запечатанными в конверты бюллетенями только по адресам помещений, где проводится голосование.<br>2)открывать сейфы только в определённое, установленное регламентом время с обязательным оповещением всех членов данной комиссии, кандидатов и их представителей, наблюдателей. Распространить на процедуру опечатывания сейфа те же правила, что и при опечатывании конвертов с бюллетенями досрочного голосования, в т.ч. право членам комиссии и наблюдателям ставить подписи, а также установить данным категориям лиц право ставить собственные печати и пломбы при опечатывании сейфа.<br>При вскрытии сейфа составлять акт с перечислением имеющихся пломб, печатей и подписей и  указанием на их сохранность. При обнаружении нарушения сохранности сейфа все бюллетени, хранившиеся в нём должны подлежать безусловному аннулированию.<br>3)установить строго определённое время(с точностью до часа) для перевозки конвертов с бюллетенями досрочного голосования и документов из ТИК(ИКМО) в УИКи. Установить членам комиссий и наблюдателям в ТИК(ИКМО) при данной перевозке те же права, что предусмотрены данным категориям лиц при процедуре выездного голосования.<br><br>Кроме того стоит расширить список нарушений, при которых председатель комиссии немедленно отстраняется от работы и создать перечень тех нарушений, при которых он подлежит отрешению от должности в обязательном порядке. <br>И уж конечно прописать в законе перечень нарушений, при которых результаты выборов на данной территории аннулируются в обязательном порядке, в т.ч. отказ кандидату в регистрации, признанный в суде незаконным даже после выборов.;0;Ж4;1
3505;5809;80973;175118514;80860;32803139;20.03.2015 16:00;[id2102258|Даниил], любое  лицо и сообщество  при наличии политической или неполитической воли может тем или иным способом устанавливать влияние на кого угодно.;0;Б3;4
3506;5810;80974;2102258;80860;32803139;20.03.2015 16:15;[id175118514|Аларих],  ...любое  лицо и сообщество  при наличии политической или неполитической воли может тем или иным способом устанавливать влияние на кого угодно.  Иногда степень этого влияния настолько несущественна, что её можно не учитывать. И, пожалуйста, свои предложения пишите сюда: http://vk.com/topic-32803139_31866558;0;Б3;4
3507;5811;80976;175118514;80860;32803139;20.03.2015 16:48;Достаточно даже одного человека, чтобы повлиять на конкретного уиковского или тиковского жулика. А если не смогли повлиять, значит толком не пытались.;0;Ж4;4
3508;5812;80977;2102258;80860;32803139;20.03.2015 16:54;[id175118514|Аларих], Вы же понимаете, что фальсифицирует не  один конкретный жулик . :));0;Ш3;4
3509;5813;80978;175118514;80860;32803139;20.03.2015 16:57;[id2102258|Даниил], жулики всегда конкретны. И они известны.;0;Щ4;4
