;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;
850;3274;83932;91426475;83931;32803139;20.08.2015 16:38;Неопределенно, не то, что там про два срока подряд;4;Ч2;2
851;3275;83963;5156359;83931;32803139;21.08.2015 12:28;Алло, гараж! Причем здесь формулировка вопроса? Нельзя же быть до сих пор такими наивными? Власть в принципе против референдумов, но публично никогда в этом не признается. Такое вот гибридное время.;0;Б2,Щ4;3
852;3276;84002;175118514;83931;32803139;23.08.2015 13:58;[id5156359|Геннадий], это факт. Но тем более важно во что бы то не стало навязывать власти референдум. Жаль, что вопрос какой-то второстепенный. Надо бы поострее что-то найти.;0;В3,Р3;3
853;3277;84007;5156359;83931;32803139;23.08.2015 15:57;[id175118514|Аларих], может быть, но вопрос и правда говно;0;Ч4;3
854;3278;84011;185901;83931;32803139;23.08.2015 16:43;[id175118514|Аларих], Вы уже нашли что-нибудь поострее? Может быть поставите вопрос реорганизации оппозиции?;0;Ц3;4
855;3279;84012;175118514;83931;32803139;23.08.2015 17:11;[id185901|Аркадий], интересно, как этот твой вопрос ты себе представляешь решать на референдуме? Или, как всегда, ляпнул не думая?<br>Но есть темы, которые вероятно вызвали бы больший отклик в массах, чем попы в Исаакие, как-то: бесплатный проезд на общественном транспорте для пенсионеров, студентов и лиц, живущих на пособие, введение круглогодичных льгот на ж/д и авиабилеты для них, введение размера минимальных стипендий и пособий по безработице не ниже прожиточного минимума, выдача льготникам в любой аптеке положенных им лекарств по льготным ценам из фонда лекарств в коммерческой продаже с последующей компенсацией аптекам разницы цен из казны.;0;Ч3,Р4;4
856;3280;84014;185901;83931;32803139;23.08.2015 19:20; Но тем более важно во что бы то не стало навязывать власти референдум.  (с) Аларих <br>Вот и расскажите, как Вы хотите решать вопросы на референдуме;0;Р3;4
857;3281;84016;175118514;83931;32803139;23.08.2015 20:19;[id185901|Аркадий], посредством голосования. Есть ещё глупые вопросы?;0;Ц3;4
858;3282;84021;185901;83931;32803139;23.08.2015 23:13;Внезапно!)) Вы погуглили слово  референдум? Молодец, растете в общении со мной, давайте теперь формулируйте вопрос про оппозицию на такой референдум. Вы же эксперт в данном вопросе.;0;Н3, Ц3;4
859;3283;84031;5156359;83931;32803139;24.08.2015 14:16;[id175118514|Аларих], бесплатно, льготы, компенсации, ....сплошной сраный социализм;0;Ч4;4
860;3284;84034;175118514;83931;32803139;24.08.2015 21:18;[id5156359|Геннадий], ну, сраный-не сраный, а массы бы пожалуй зацепило__можно было волны нагнать. Да и разве это социализм? Что за социализм без конфискации частной собственности и капитала? Если только  сраный ));0;Ф3,Ш4;4
861;3285;84036;5156359;83931;32803139;24.08.2015 23:10;[id175118514|Аларих], да хули массы?  Быдлу  шариковскому не надо подигрывать. Пусть , блядь, страдает и наслаждается этим.;0;Л4;4
862;3286;84037;175118514;83931;32803139;25.08.2015 0:11;[id5156359|Геннадий], а Вы всерьёз рассчитываете что-то изменить без их деятельного участия?;0;А3;4
863;3287;84041;5156359;83931;32803139;25.08.2015 13:15;[id175118514|Аларих], я не рассчитываю ничего менять. Сядь у реки и подожди, когда мимо проплывет труп твоего врага.;0;П3;4
864;3288;84042;5156359;83931;32803139;25.08.2015 13:18;[id175118514|Аларих], так вы о социализме мечтаете?;0;Н3;4
865;3289;84043;175118514;83931;32803139;25.08.2015 13:39;[id5156359|Геннадий], состариться успеешь. Или можно вообще не дожить.;0;Ц3;4
866;3290;84044;5156359;83931;32803139;25.08.2015 13:42;[id175118514|Аларих], кто нибудь да доживет;0;Ш3;4
867;3291;84045;175118514;83931;32803139;25.08.2015 13:48;[id5156359|Геннадий], мне неинтересно, что там  кто-нибудь . Я присоединюсь к любому, в ком увижу силу заткнуть всю эту машинку, свернуть всю эту затянувшуюся лавочку и кто, соответственно, будет диктовать условия.;0;Е1,М4;4
868;3292;84046;5156359;83931;32803139;25.08.2015 13:50;[id175118514|Аларих], говорят, сила есть -ума не надо;0;Ш4;4
869;3293;84047;175118514;83931;32803139;25.08.2015 13:52;[id5156359|Геннадий], может и так, раз уж ум бессилен.;0;В3,Н4;4
870;3294;84048;5156359;83931;32803139;25.08.2015 13:54;[id175118514|Аларих], триумф, так сказать, воли.;0;Ш3;4
871;3295;84049;175118514;83931;32803139;25.08.2015 13:58;[id5156359|Геннадий], так и сказать.;0;В3;4
872;3296;84050;5156359;83931;32803139;25.08.2015 13:59;[id175118514|Аларих],  Его лицо выражало тупую решимость ;0;Ш4;4
873;3297;84052;175118514;83931;32803139;25.08.2015 14:54;[id5156359|Геннадий], http://vk.com/photo175118514_341752839;0;Ж4;4
874;3298;84053;5156359;83931;32803139;25.08.2015 14:55;[id175118514|Аларих], приблизительно ,всё вокруг горит и рушится;0;Ш3;4
875;3299;84054;185901;83931;32803139;25.08.2015 14:57;[id5156359|Геннадий], надеюсь что провластные тролли наименее огнеупорны));0;Ш4;4
876;3300;84055;5156359;83931;32803139;25.08.2015 14:58;[id185901|Аркадий], да чудик он шукшинский;0;Н4;4
877;3301;84056;185901;83931;32803139;25.08.2015 14:59;[id5156359|Геннадий], ты ему явно льстишь. Думаю, просто работать не любит, а выживать надо. Закончил какой-нибудь Герцена, учителя, сам знаешь, сколько должны работать, чтобы на еду и квартиру хватало.;0;Н4;4
878;3302;84059;175118514;83931;32803139;25.08.2015 16:44;Геннадий, вам же Аркадей уже объяснял: варвар я). Огню поклоняюсь, вокруг костра пляшу)) варвары__они все чудики: расколотят статуй и гогочут)))<br>Давайте лучше о Вас поговорим. Вы не читали басню про премудрого пескаря?;0;Ш1 ,А3;4
879;3303;84060;185901;83931;32803139;25.08.2015 16:48;[id175118514|Аларих], скотина ты продажная, а не варвар));0;Л3;4
880;3304;84063;185901;83931;32803139;25.08.2015 18:09;Я , если даже выпью, то протрезвею, а ты уродом так и останешься.;0;Л3;4
881;3305;84065;175118514;83931;32803139;25.08.2015 21:30;Фраза, метко характеризующая некоторых типичных представителей питерской демшизы:<br> Вот гляжу на вас, ребята:<br>Ох и мутный вы народ!<br>Он(Аркадий) кого-то мнит уродом, <br>Несмотря, что сам урод <br>(Л. Филатов);0;Н3;4
882;3306;84066;5156359;83931;32803139;25.08.2015 23:58;Мальчики как у вас всё жестко то?!;0;З3;4
883;3307;84067;185901;83931;32803139;26.08.2015 8:12;Ели мясо мужики, пивом запивали,<br>а что Аркадий говорил,<br>__просто забивали)) http://vk.com/photo-32803139_380780876;0;Ш3;4
884;3308;84068;175118514;83931;32803139;26.08.2015 15:58; Это ещё не жёстко, я с ними цацкаюсь пока ,__последнее, что успел сказать Шариков, глядя вслед удаляющимся ЖЭКовским активистам, прежде чем окончательно превратиться в Шарика. http://vk.com/photo-32803139_380031796;0;Ш4;4
885;3309;84071;185901;83931;32803139;26.08.2015 16:43;Исписались, Вы товарищ. Уже все подряд фигачете. Нашли сайт с анекдотами? Вам же ставку в Ольгино срежут.;0;Н3,Ш3;4
886;3310;84088;185901;83931;32803139;27.08.2015 12:39;Я Вас предупреждал, заметьте. Деградировали до раскрасок картинок)) .Но, дети не врут, Вы в какого-то мутанта превращаетесь))<br>Кстати, Аларих, как поживает ваш тезис о том, что оппозиция профукала пик кризиса?);0;Ц3,А3;4
887;3311;84092;175118514;83931;32803139;27.08.2015 13:02;[id185901|Аркадий], тезис по ходу жив-здоров и вас переживёт. Или я чего-то упустил про оппозицию? Вот сейчас по городской трансляции зачем-то  тревогу  крутили:  У-у-у-у-у-у-у-у-у!!!  Это часом не оппозиция на радиоузел ворвалась? ))))<br><br>Хотя, я понимаю, пик кризиса ещё не наступил, оппозиция может спать и дальше));0;Ф4,Ц3;4
888;3312;84111;185901;83931;32803139;27.08.2015 20:04;Вы упустили что-то про пик кризиса. )) Раньше Вы писали, что оппозиция ПРОПУСТИЛА пик кризиса, теперь пишите - он не наступил. Путаетесь, батенька, в показаниях, а стоит потренироваться на будущее))<br>http://echo.msk.ru/news/1583964-echo.html;0;Н3,Ш3;4
889;3313;84127;185901;83931;32803139;29.08.2015 21:31;Первый, второй, ....п, п+1. Я их и не считаю, неуч Вы наш. Посмотрите определение слова  пик . По определению он только один.;0;П3;4
890;3314;84129;175118514;83931;32803139;29.08.2015 22:00;[id185901|Аркадий], фигня. Да и какая вам разница. Всё равно вы его проворонили, можете теперь и не доказывать. Неактуально. Вам, либерам, хоть сто кризисов с пиками(червями и бубнами)) подкинь, вы всё равно дурачками и останетесь. Всё профукаете. Вообще бездарное тусэ. http://vk.com/photo-32803139_380479004;0;Ф3,Н3;4
891;3315;84130;185901;83931;32803139;29.08.2015 22:18;пик, это максимум, если говорить о кризисе, то максимум может быть только один. Вы можете путать только неучей, еще более дремучих, чем Вы. Когда Вы собираетесь покинуть наше бездарное тусэ? В смысле - выйдете из этой группы. Или ждете команды от начальства?.;0;Н3,Г3;4
892;3316;84132;175118514;83931;32803139;29.08.2015 23:25;[id185901|Аркадий], вы чего-то выдумываете. На демшизовые группы я отродясь не подписывался. А если вы перепутали их с НП, то явно ошиблись дверью.<br>А пик__оно конечно, максимум. А Волга впадает в Каспийское море. А лошадь кушает овёс и сено. Сколько кризисов, столько и максимумов)) И пока вы будете доказывать где кризис, а где пик, провороните и то и другое, как всегда))) Хотя и так провороните, поэтому мне как-то это всё фиолетово. http://vk.com/photo-32803139_380479129;0;Т3,Н3;4
893;3317;84133;185901;83931;32803139;29.08.2015 23:30;я Вам ничего доказывать не собирался, Вы не признаете объективность в принципе, т.к. Вы тролль.Я просто показал на примере, что Вы полный неуч и пользуетесь терминами не зная их значения. И не надо опять придуриваться, Вы участник группы, в которой находится эта ветка комментов и я Вас спросил - когда Вы собираетесь на выход?;0;Ф3,Т3,Г3;4
894;3318;84134;175118514;83931;32803139;30.08.2015 2:15;Аркадий, и не мечтайте))) И не смешите меня про объективность, к которой вы не имеете ни малейшего  касательства. Как и вообще к какому-либо смыслу и адекватности. Поскольку вы в принципе балаболка и пустомеля=тролль, причём ужасно занудный и прилипчивый как репей. <br>Вот и здесь вы опять всё перепутали и переврали: ваше бездарное тусэ находится не тут, а где-то в другом месте(не знаю где, я в таких отстойниках не плаваю), где собирается всякая демшиза и разные пикейные жилеты__вот там себе и выясняйте сколько влезет, где там у вас кризис и у кого его пик. Мне же об этом с вами тереть как-то просто лениво.<br>А суть этой группы чётко и ясно указана в её шапке. Не знаю и знать не хочу, что вы там ещё возомнили сверх того.;0;Ф3, Т3;4
895;3319;84135;185901;83931;32803139;30.08.2015 2:26;что-то про выборы в этой группе Вы немного пишете, хотя название группы заметили. В основном про то, какая оппозиция плохая. Хотя что Вы можете про выборы написать, Вы на них ни разу не работали.Да и заказ оплачивают Вам другой.;0;Ч3, Н3;4
896;3320;84136;175118514;83931;32803139;30.08.2015 3:11;Аркадий, да прямое отношение-то одного к другому! Если оппозиция__говно, то и выбирать некого и даже нарушения не так актуальны__честные-нечестные выборы__ несистемная  всё равно пролетает. Как и системная. Поэтому все ваши разочарования, охи-ахи,  нам не дают  и пр. засуньте себе подальше в задницу и сперва научитесь увлекать людей, вызывать их доверие, вести их за собой(и даже не до ближайшей канавы), создайте что-нибудь внятное, потом уже и рот разевайте. Хотя бы научитесь делать так, чтобы какая-то гопота не отгоняла от избиркомов ваших  кандидатов в кандидаты  при подаче подписных листов. А пока вы__никто и звать вас__никак. С рейтингом в пределах погрешности.<br>Тем не менее, как уже и писал когда-то(вот, Геннадий наверно помнит), лично я, как прежде, так и впредь, буду следить честностью выборов и за соблюдением законодательства, даже если конкурировать на выборах будут только одни ЕдРосы__ между собой. И никого никогда не призову забить на выборы.;0;Ч4,П3,О1;4
897;3321;84137;185901;83931;32803139;30.08.2015 3:40;теперь можете идти, Вы выполнили свой долг перед заказчиком. Или не скопили себе еще достаточно на троллинге?));0;Ц3;4
898;3322;84171;185901;83931;32803139;31.08.2015 21:38;[id175118514|Аларих], старайтесь впредь не забывать;0;П3;4
899;3323;84187;175118514;83931;32803139;01.09.2015 13:58;Ели мясо мужики, пивом запивали,<br>а что Аркадий говорил,<br>__просто забивали)) http://vk.com/photo-32803139_380780876;0;Ц3;4
900;3324;84190;185901;83931;32803139;01.09.2015 15:52;ваша деградация усиливается. Про оппозицию все меньше и меньше. Какие-то идиотские картинки и стишки все больше и больше.;0;Ч3;4
901;3325;84193;185901;83931;32803139;02.09.2015 3:42;так если все сказали, может пойдете уже?;0;Ц3,Г3;4
902;3326;84195;175118514;83931;32803139;02.09.2015 15:48;[id185901|Аркадий], просто адаптирую контент к твоему уровню. Вот и эти тоже угорают над тобой. http://vk.com/photo-32803139_380918468;0;Ф3,Ц3;4
903;3327;84196;185901;83931;32803139;02.09.2015 17:58;уже и комменты стали свои удалять. Хочу сказать, что удаленный был не тупее остальных ваших. Удалили, т.к. не подумав по обыкновению, написали -  я все про оппозицию уже сказал  Начальство застукало ваше нежелание отрабатывать серебренники?));0;Н3,Ц3;4
904;3328;84199;175118514;83931;32803139;02.09.2015 20:22;[id185901|Аркадий], могу повторить: про оппозицию я уже всё сказал, а моя перебранка с вами вряд ли кому-то интересна. Ответил, получил подтверждение, что прочитано и могу спокойно удалить. Продукты одноразового использования требуют утилизации. Экология, однако.<br>Вот и вам не мешало бы убрать все горы словесной шелухи, которые вы здесь наоставляли. http://vk.com/photo-32803139_380952718;0;Ц3;4
905;3329;84202;185901;83931;32803139;02.09.2015 21:55;так валите отсюда, одноразовый Вы наш, проверенный электроникой. )))<br>Вам здесь не нравится, миссию - обосрать оппозицию, Вы по вашим словам выполнили. Чего Вы здесь еще забыли? Туто копеечку троллевскую сшибать? Совсем есть нечего?;0;Н3,Ц3;4
906;3330;84204;175118514;83931;32803139;03.09.2015 1:18;Аркадий, пустобрёх и тролль здесь ты, и  одноразовая продукция __только та, которая имеет отношение непосредственно к тебе и общению с тобой, поскольку не несет никакого общественного значения и удаляется без ущерба. Как и твои собственные комменты, которые я бы, на месте админов группы, тоже удалил как несусветный вздор и бессмыслицу, только зря занимающую место. <br>В то же время никто здесь наверно так не обосрал эту самую оппозицию, как ты сам__своим личным примером её записного представителя. Молодёжь будет шарахаться от оппозиции, видя твои эпистолярные выкидыши.;0;Л3,Ц3;4
907;3331;84212;185901;83931;32803139;03.09.2015 13:28;Аларих, от ваших комментов тошнит, я думаю, вообще все возрасты. Главного я достиг, ни у кого не осталось сомнений, что Вы тролль и присутствуете в этой группе с одной лишь целью - исполнить заказ действующей власти, а именно вылить как можно больше грязи на альтернативную ей позицию. Но это жалкие потуги, т.к. Вам и вашим коллегам-троллям, с вашими убогим кругозором, нереально противостоять эффекту в сознании людей от экономического краха в который все глубже погружает страну действующая власть. Что им до вашего жжужания, когда они получают такие квитанции по ЖКХ и видят рост цен в магазинах.;0;Щ3;4
908;3332;84227;175118514;83931;32803139;03.09.2015 16:56;Аркадий ДУМАЕТ!!! Он думает, что достиг!)))))) Он думает, что стоит ему сто раз прокричать слово  троль __и все поверят : ) Он наверно думает, что стоит сто раз сказать  дождь __и будет дождь.<br>Он думает, что думает?? http://vk.com/photo-32803139_381042116;0;Н3,Ц3;4
909;3333;84296;185901;83931;32803139;07.09.2015 23:04;То, что Вы тролль , это не вопрос веры. Это набор объективных параметров. Вы под них попадаете.Все ,кто видит вашу страницу, читает ваши комменты ВИДЯТ, что Вы тролль.;0;Т3;4
