;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;Unnamed: 9
3773;5458;81270;303838;81269;32803139;2015-03-28 05:41:23;И правильно сделали, что же теперь там место паломничества организовывать, вечный огонь установить и роту почетного караула?) <br>Идолопоклонничество какое-то уже... священное место прямо.;3;Х4;1
3774;5459;81271;1169819;81269;32803139;2015-03-28 05:49:52;[id303838|Антон], идолопоклонство - это поклонение кремлевскому божку. Ему, правда, цветов не надо - нужны жертвы.;9;Щ4;4
3775;5460;81272;303838;81269;32803139;2015-03-28 05:50:44;[id1169819|Лев], не вижу разницы нисколько какому идолу поклоняться. Это две стороны одной и той же медали.;3;Ч3;4
3776;5461;81273;213225;81269;32803139;2015-03-28 05:51:40;О, круто. Тролль не знает что делать. Но знает, что не стоит делать остальным.;4;Н3;4
3777;5462;81274;19872587;81269;32803139;2015-03-28 05:52:08;[id303838|Антон], вы идиот или тролль?;1;Л3;4
3778;5463;81275;23131320;81269;32803139;2015-03-28 05:56:07;К сожалению, не тролль.;0;Ф3;4
3779;5464;81276;1041953;81269;32803139;2015-03-28 06:31:22;[id303838|Антон], 40 дней еще не прошло. Конечно же многим хотелось бы забыть об этом убийстве и сделать вид что его не было вообще. На мой взгляд сторонники Немцова имеют полное право содержать там мемориальный участок до окончания суда по факту убийства.;9;Ж4;2
3780;5465;81277;209464;81269;32803139;2015-03-28 07:11:39;В красном селе цветы год стоят после убийства молодого человека...;0;Щ4;3
3781;5466;81278;89706494;81269;32803139;2015-03-28 07:45:49;Вдоль трасс огромное количество венков, крестов, памятников и даже оградок, установленных родственниками и друзьями погибших в ДТП. Многим эта поминальная атрибутика неприятна или даже мешает, но все равно никто на свалку ночами кресты и венки не вывозит. По крайней мере - пока.;2;Щ4;3
3782;5467;81279;1263636;81269;32803139;2015-03-28 08:22:15;[id303838|Антон], когда вас застрелят, возвращайтесь. Обсудим.;0;Ц3;4
3783;5468;81280;2265488;81269;32803139;2015-03-28 11:59:21;'там, где запрещают смеяться..';0;Ж4;4
3784;5469;81281;9692175;81269;32803139;2015-03-28 12:14:46;Всем насрать как на живых. Так и на мертвых;0;Щ4;4
3785;5470;81282;303838;81269;32803139;2015-03-28 14:27:52;Все же Немцов оказался, действительно, нужнее всем мертвым, нежели живым. Это видно и по реакции на его якобы  поклонников  на абсолютно нормальное действие по уборке территории. Всем важнее в очередной раз попиариться, проявить мнимое сострадание, хотя ни один не может ответить зачем и главное СКОЛЬКО там нужно устраивать подобие кладбищенской могилы, в центре одно их крупнейших и старейших городов мира...<br>Варварство какое-то, замешанное с пиаром на крови. Была бы искренность в действиях, то не цветочки бы в центр носили, у всех на виду, а тихо бы матери покойного помогли, её в этой ситуации больше всего жаль, не должны родители видеть смерть своих детей.<br>А вообще истинное лицо многих комментирующих просто искажено злобной мерзостью, и эти люди хотят еще чего-то справедливого, надеются на народную поддержку... Повторяю, пусти вас к управлению заместо нынешних царьков, вы в мгновенье ока изменитесь и станете такими же, если не хуже. Поэтому никто и не поддерживает таких умников, думающих, как выясняется только о себе, готовых грызть и убивать тех, кто имеет иное мнение... Об этом еще Бердяев писал - самое страшное, что меня поразило это метаморфоза людей, бывших раньше пламенными борцами, но дорвавшихся в последствии до власти.<br>Меняйетесь, дамы и господа, меняйтесь, а пока ваше поведение подходит по строчки песни Гребенщикова:<br><br> И у каждого здесь есть излюбленный метод<br>Приводить в движенье сияющий прах.<br>Гитаристы лелеют свои фотоснимки,<br>А поэты торчат на чужих номерах.<br>Но сами давно звонят лишь друг другу,<br>Обсуждая, насколько прекрасен наш круг. ;3;Щ4;2
3786;5471;81288;23131320;81269;32803139;2015-03-28 22:53:46;[id303838|Антон], ну почему же? На вопрос  сколько  я вполне могу ответить. Ровно до тех пор. пока сохраняется режим, при котором в центре столицы возможно нагло и с чувством абсолютной безнаказанности убить человека.;1;Ж3;2
3787;5472;81289;677452;81269;32803139;2015-03-28 23:12:06;[id23131320|Димитрий], ради интереса в какой стране вас устраивает действующий режим?;0;А3;4
3788;5473;81290;23131320;81269;32803139;2015-03-28 23:45:00;[id677452|Антон], к сожалению, у меня недостаточно информации по другим странам.;0;Ч1;4
3789;5474;81291;211723177;81269;32803139;2015-03-29 00:20:36;В 2012 году активистки панк-группы Pussy Riot были приговорены к 2-м годам лишения свободы за хулиганство и осквернение чувств верующих. Молодые девушки получили реальные сроки, несмотря на то, что имели малолетних детей. Нынешний акт вандализма, совершенный ночью на Москворецком мосту неизвестными лицами, возможно с молчаливого согласия властей, - это, по-сути, тоже осквернение чувств тысяч и тысяч россиян, которые не жалея времени, в любую погоду несли цветы на место убийства политика Бориса Немцова. Жутко делается от того, что люди, жители одной страны превращаются в озверевшую человеконенавистническую стаю волков, готовых загрызть друг друга из-за расхождения в политических взглядах. Куда же мы катимся? О какой великой стране говорим, если в сердцах россиян живет нетерпимость к друг другу и ненависть?;1;Щ4, Т4, Ж3;3
3790;5475;81292;677452;81269;32803139;2015-03-29 00:34:00;[id211723177|Елена], В чем КОНКРЕТНО заключается акт ВАНДАЛИЗМА?;1;А3;3
3791;5476;81293;211723177;81269;32803139;2015-03-29 00:56:14;[id677452|Антон], если Вы задаете такой вопрос, то, наверное, даже не понимаете, или не хотите понимать,что на данный момент мост- это место памяти. Я видела, как люди на костылях, инвалиды в инвалидных колясках возлагали цветы...а марш памяти, в котором приняло участие 60 тыс москвичей и более 7 тыс петербуржцев? Разве это ни о чем не говорит? Несколько дней назад  Место гибели Бориса Немцова на Большом Москворецком мосту осквернили вандалы. Накануне члены так называемого русского освободительного движения SERB разбили рамки с фотографиями, сорвали и закрасили из баллончика самодельную табличку «Немцов мост», а также развесили плакаты с оскорблениями в адрес убитого политика. О своей акции они сообщили в социальной сети...пишет «Газета.Ру»...Что произошло прошлой ночью сами же знаете...Но если для Вас это просто уборка мусора...то вряд ли Вы измените свою точку зрения.;1;Ж3, Ч3;3
3792;5477;81294;677452;81269;32803139;2015-03-29 00:59:40;[id211723177|Елена], ну вы же либералы за правовое общество и заявляете что был акт вандализма так вот я тупой ватник и поклонник режима хочу от вас либералов услышать в чем заключается акт вандализма, лично среди моих знакомых нет ни одного человека кто бы расстроился из-за Немцова;0;Ф3, Щ4;3
3793;5478;81296;2668694;81269;32803139;2015-03-29 05:31:56;[id677452|Антон], действительно, чего расстраиваться, ну убили и убили - обычное ж дело. Шел человек по мосту, расстреляли в спину и уехали - с кем не бывает. А уж тем более если ночью мусор убирают на месте расстрела - а и правда, чего тут такого-то?;2;Ц3;3
3794;5479;81298;677452;81269;32803139;2015-03-29 10:17:06;[id2668694|Галина], вот именно ничего такого посмотрите на светоч демократии США, и кстати там бы он хрен что бы прокукаекал в адрес действующей власти а здесь мог говорить и даже не боялся что привлекут за свои слова поскольку видный КОКОзиционер;0;В3, Н4;3
3795;5480;81300;684097;81269;32803139;2015-03-29 12:48:47;А почему бы цветы, венки, свечи и фотографии не носить на могилку? Всему в этом мире есть свое место, все-таки мост - не отпевальня. Сторонники Немцова могут там (на могилке) даже памятник поставить - никто их не осудит. Главное самим не создавать для себя повода говорить о  нетерпимостИ к друг другу и ненавистИ , захламляя общественное место.;2;Р3,П3;3
3796;5481;81302;89706494;81269;32803139;2015-03-29 16:49:37;[id684097|Захар], позвольте с Вами не согласиться. Когда человек погибает трагически (ДТП, утонул, погиб в аиакатастрофе и т.д.), его любящие люди испытывают потребность нести цветы и свечи не только на могилу, но и на то место, где его постигла смерть. Где он сделал свой последний вздох, где были последние секунды или минуты его жизни. Поверьте, это потребность. Я не вижу ничего плохого в том, что людям хочется зажигать лампадки именно на мосту. На кладбище - только прах, только мертвое тело, а на мосту - душа. Для скорбящих это важно, по крайней мере какое-то время. И цветы не могут никому мешать, вот, простите, загаженные и воняющие мочой переходы и разрисованные фасады домов вас почему-то не беспокоят. А цветы - беспокоят. Так в цветах ли дело или все же в нетерпимости к людям с иными политическими взглядами?;1;Б3, Ч3;3
3797;5482;81303;211723177;81269;32803139;2015-03-29 17:08:23;Захар, понимаете, дело ведь не совсем в личности Бориса Немцова. Он политик - лицо общественное. Кто-то разделял и разделяет его взгляды , кто-то - нет. Демократия! А цветы на мосту это не идолопоклонничество, как некоторым, возможно , кажется. И тысячи людей приносили цветы скорее как протест против того, чтоб в нашей стране, которая в общем-то стремится к статусу цивилизованной (надеюсь это Вы отрицать не будете), каждый человек мог спокойно гулять по любому мосту, не боясь, что его изобьют, расстреляют в спину или выльют на него помои. Цветы на мосту акция протеста против самосуда, беспредела и возврата в 90-е, когда бесчинствовали враждующие бандитские группировки.;2;Ж3;3
3798;5483;81304;677452;81269;32803139;2015-03-29 18:03:50;[id211723177|Елена], а простите кто был в 90 у власти не Немцов ли?,в  цивилизованой  стране этому немцову уже впояли бы срок/штраф за его длиный язык а не церемонились бы как в тоталитарной РФ;0;Ч4;4
3799;5484;81305;677452;81269;32803139;2015-03-29 18:08:12;[id211723177|Елена], я правильно понимаю что люди на акции памяти немцова протестую против возвращения во времена его власти? у меня когнитивный диссонанс;2;Ж3,Ц4;4
3800;5485;81306;89706494;81269;32803139;2015-03-29 20:05:17;[id211723177|Елена], на самом деле никуда мы от 90х не ушли, как была преступность, так и осталась, только она приобрела вполне узаконенный статус<br>взятки, коррупция, откаты, <br>был рэкет и вымогательства - стали откаты, <br>как воровали - так и воруют, милиция переименовалась в полицию, а что изменилось? Да ничего. Как угоняли машины, так и угоняют(бесследно), автоподставщики орудуют в СПб, про них кино снимают, обезвредили типа, а их меньше не становится, сотовые операторы продают короткие номера - этим пользуются мошенники, скручивая деньги с лохов, и что? Лавочки прикрывают? Нет. Сажают не преступников, а неугодных. Власти Хабаровска пообещали многодетным покрыть ипотечные кредиты, те детей нарожали, влезли в долги, а обещальщики теперь в кусты, расхлебывайте, мол, как хотите. В депутаты лезут исключительно обогащения ради, сидят там по 20 лет, корнями уже в кресла проросли, труха с них сыплется, а они все от политики отойти не могут, все народу услуживают, обеспечивая себя и своих соплеменников баснословными зарплатами, пенсиями и льготами.<br>и никто не борется <br>все только гребут бабло. Немцов хотя бы выступал против всего этого беспредела, против коррумпированных чиновников, хотя бы открыто и смело выступал. За что, правда, и поплатился.;0;Щ4;4
3801;5486;81307;211723177;81269;32803139;2015-03-29 20:20:55;Да, по поводу обманутых многодетных семей в Хабаровске я прочла статью. Ну что ж...для нашей страны совсем не удивительно.;0;Н4;4
3802;5487;81308;89706494;81269;32803139;2015-03-29 20:28:58;[id211723177|Елена], обманутые дольщики, обманутые вкладчики, обманутые многодетные семьи...))) так что тогда изменилось? Еды да развлечений стало больше?);0;Щ4;4
3803;5488;81316;684097;81269;32803139;2015-03-30 22:45:52;[id89706494|Илона], Вы оракул и телепат?;0;Ш3;4
