;ж4;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;Unnamed: 10
0;3835;5238;81581;2265488;81580;32803139;2015-04-15 17:13:00;А Витишко сегодня же отказали;2;Ж4;4
1;3836;5239;81582;2668694;81580;32803139;2015-04-15 17:24:00;Вообще, конечно, жуть: новости по большей части состоят из того, кого и за что посадили, кого выпустили и т.п. :(;3;Ч2;3
2;3837;5240;81583;12663187;81580;32803139;2015-04-15 17:36:00;А когда его именно оправдают, а не выпустят по УДО? И посадят полицаев и судью?;2;А4, С4;1
3;3838;5241;81584;19353280;81580;32803139;2015-04-15 18:03:00;[id2668694|Галина], если новости состоят по большей части из того, кого и за что посадили или выпустили, то это действительно жуткие новости(;0;В4;3
4;3839;5242;81587;684097;81580;32803139;2015-04-15 20:34:00;Галина здравствуйте, разумно задать вопрос в таком случае руководству группы, которое выстраивает в том числе новостную политику.;0;Р4,Н2;3
5;3840;5243;81589;2102258;81580;32803139;2015-04-15 22:35:00;И правда хорошая новость.;1;В4;1
6;3841;5244;81592;8975542;81580;32803139;2015-04-15 22:47:00;Оправдательных приговоров в России не бывает. Хотя добиваться оправдания все равно надо.;0;Ч4,О4;2
7;3842;5245;81593;2668694;81580;32803139;2015-04-16 01:24:00;[id684097|Захар], я сама в руководстве группы, так что я Вам сразу же и отвечу :) Мы размещаем новости и комментарии по выборной тематике, а также новости и комментарии о тех событиях, которые являются следствием нечестных выборов, неуважения к законам и т.п. И поэтому в новостную ленту закономерно попадают несправедливо осужденные гражданские активисты и иные политзаключенные. Это у нас не лента такая специальная, это у нас жизнь такая специальная, увы.;0;К3;3
8;3843;5246;81595;684097;81580;32803139;2015-04-16 10:49:00;[id2668694|Галина], в таком случае мне немного странно наблюдать ситуацию, когда Вы эмоционально реагируете на новость, которую, по большому счету, и санкционировали как один из руководителей группы (только если у вас там не сложилась обстановка, когда левая рука не знает, что делает правая), словно она (новость) для Вас оказалась чем-то неожиданным))).;0;Н2;4
9;3844;5247;81596;19353280;81580;32803139;2015-04-16 11:09:00;[id2102258|Даниил], замечательная новость!;0;Х4;1
10;3845;5248;81597;2102258;81580;32803139;2015-04-16 11:13:00;Анекдот<br><br>— Скажи, а ты бы смог бы отправить за решётку стопроцентно невиновного?<br>— Ни в коем случае. Я дал бы ему условный срок<br><br>не сработал в данном случае, к сожалению. Ну так хоть УДО.;0;Д4;1
11;3846;5249;81600;5156359;81580;32803139;2015-04-16 12:00:00;И стоил того тот сраный пакгауз?;0;А4;2
12;3847;5250;81601;2102258;81580;32803139;2015-04-16 12:40:00;[id5156359|Геннадий], Вы же понимаете, что все согласятся с Вами, что пакгауз того не стоил. <br>Этот случай не про градозащитные усилия граждан. Этот случай про низкую эффективность работы государственных органов. Собственно, суд нужен именно для того, чтобы наказание получали те, кто совершил преступление, а невиновные оставались бы на свободе. Если суд не в состоянии с этим справиться в подобном деле, то это свидетельствует о низком качестве работы суда, да и следственных органов, естественно, тоже.;0;Ф3,П4;2
13;3848;5251;81602;19353280;81580;32803139;2015-04-16 12:46:00;Анекдот<br>- Как ты относишься к тому, что за твое преступление отправили за решетку невиновного, нет ли желания написать явку с повинной?<br>- Друзей надо выручать! Я подпишу петицию об его освобождении!;2;П4;3
