;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;
3804;5355;81455;19353280;81454;32803139;08.04.2015 21:01;Какой смысл принимать участие в этом фэйке?;1;Ж4;1
3805;5356;81456;1741219;81454;32803139;08.04.2015 21:28;[id19353280|Дмитрий], свидетельствовать. Вскрывать. Обращать внимание. В частности, на демагогический и ритуальный, церемониальный характер мероприятия, проводимого за бюджетные деньги.<br><br>Наконец, хотелось бы, чтобы молодые люди, которых элементарно используют - хотя бы понимали, что их используют, отдавали себе в этом отчет.<br><br>Кроме того, не вполне понятно, ради чего это все затеяно. Это может быть не самая удачная попытка  потратить  деньги на  работу с молодежью . А могут ведь потом преподнести, например, в виде  решения  какой-нибудь избирательной комиссии. Мне кажется, в частности поэтому стоит с самого начала заявлять о правовых границах этой инициативы.;3;Р3,Ч4;2
3806;5357;81461;29383383;81454;32803139;09.04.2015 2:49;[id1741219|Виктор], Они не поймут !Все опутано сетями для молодых(молодежные советы, проекты,общ. движения - все с финансированием из бюджета). Для молодых - это игра   в  Зарницу   ,как кто-то недавно хорошо сравнил,и одновременно тешит их самолюбие. А для власти -  приручение  подрастающего поколения (ну ,кто же не будет благодарен  учителям  и спонсорам). Это уже налаженная система,можете не пытаться открыть глаза амбициозным молодым людям,обманутых (насильно втянутых) среди них единицы.;0;Б3,Ч4;3
3807;5358;81469;29383383;81454;32803139;10.04.2015 0:27;[id1741219|Виктор], Вот,пример- звучит все  правильно  http://vk.com/video-59203058_171579653;0;Р4;3
3808;5359;81470;1741219;81454;32803139;10.04.2015 1:23;[id29383383|Вера], я, наверное, не очень точно выразился.  Открывать глаза  кому-то не сильно отличается по сути и содержанию от  плетения сетей . По сути, та же пропаганда. Я, скорее, про простые вопросы, на которые непросто ответить... И  приручение  - дело тоже не такое однозначное: я и пионером был, и  посты  там занимал (в комсомол, правда, вступать не стал), и в Зеркальный ездил (хоть и не как  активист ). Но многое из моего нынешнего мировоззрения, отношения к происходящему берет корни оттуда...;0;К3,П3;4
3809;5360;81471;29383383;81454;32803139;10.04.2015 1:42;[id1741219|Виктор], Причем здесь пионеры и комсомол ? . Большинство из нас (я о своем поколении) не воспринимало это ,как идеологически направленную деятельность.Я с октябрят - активистка (по ныне),но попытка меня  приручить  - бессмысленное дело . Выбора для активных детей и подростков не было,да и разговор,насколько я понимаю, о взрослых (пусть и молодых). Да,пропаганда... Но ! Власть точно определила контингент для своей пропаганды,а Вы можете охарактеризовать тот слой ,на который рассчитана Ваша (из тех,кому  глаза открывать ) ? Простые вопросы(на которые сложно ответить) - это вечные вопросы.Они не относятся к идеологии и даже мировоззрению,скорее к системе ценностей.;0;Ч3;4
3810;5361;81472;1741219;81454;32803139;10.04.2015 1:46;[id29383383|Вера], я же и говорю, что пропагандой не хочется заниматься. Поэтому и слой определять не важно. Потом, почему Вы считаете, что сейчас такие мероприятия воспринимаются как идеологически направленные? И тогда, и сейчас есть те, кто под это попадает, и те, кто не попадает. Лично я особой разницы со своим детством не вижу (молодость моя, к счастью, вообще лишена была всей этой суеты).;0;К3,П3;4
3811;5362;81493;19353280;81454;32803139;13.04.2015 11:47;[id1741219|Виктор], твои текущие регулярные посты являются лучшим примером пропаганды, т.е. распространением взглядов, фактов, аргументов и других сведений для формирования общественного мнения или иных целей, преследуемых пропагандистами);0;Т3;4
3812;5363;81495;1741219;81454;32803139;13.04.2015 12:17;[id19353280|Дмитрий], во-первых, лично я регулярных постов не делаю. Во-вторых, я не уверен, что публикацию каких-либо материалов в этой группе можно назвать  распространением сведений . Можно ли серьезно говорить о формировании общественного мнения, доводя свои взгляды до 56 читателей в сутки (820 в месяц)? Какой-то отклик такие публикации вызывают у единиц. Даже  закон о блоггерах  устанавливает планку в 3000 уникальных читателей! Редакторы, насколько мне известно, не пытаются специально увеличивать аудиторию группы или отдельных сообщений. Но каждый интересующийся всегда может ознакомиться.<br><br>При всем своем желании я не могу относится к этой группе как к каналу пропаганды. Читателями здесь являются очень узкий круг людей, заинтересованных в весьма специальной проблематике. Эта группа - возможность делиться с ними своим мнением, находками, открытиями. Вот можно научную публикацию называть пропагандой? Это тоже распространение взглядов, фактов, аргументов, формирующее общественное мнение, но среди весьма узкого круга лиц (который, как правило, заметно шире читательской аудитории этой группы!).<br><br>Наконец, хоть это и не пропаганда, хорошо бы ответить на вопрос по поводу  преследуемых целей . Цель, в которой заинтересован лично я - изучение разных сторон избирательной системы РФ, Северо-Запада РФ и Санкт-Петербурга, ее совершенствование. Лично я публикую те сведения, факты, которые могли бы представлять интерес как для заинтересованных читателей, так и для избирательных органов. Конечно, не все, что здесь публикуется - соответствует тому образу, который эти органы хотели бы создать о себе. Но они могут пользоваться этой информацией совершенно безвозмездно для совершенствования своей работы.;0;Ф3,И4;4
3813;5364;81496;5156359;81454;32803139;13.04.2015 12:18;[id1741219|Виктор], в каком году были в лагере для активной комсы Зеркальном? Я там был где то в 75-76-м. Не в коня корм, промахнулась со мной советская власть. А вас почитаешь ,кажется, что до сих пор делу Ленина, типа, верны ??;0;Ш3,Н3;4
