;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;Unnamed: 9;Интент;Контент
54;4513;82398;32884836;82395;32803139;2015-05-15 10:02:32;Врет Галицын. Я сам был кандидатом и членом УИК в Шушарах, Славянке, с правом решающего голоса и всю эту  кашу   прошел с самого начала и до конца.;9;;;Т4;3
55;4514;82404;168154272;82395;32803139;2015-05-15 16:50:34; Наблюдатели Петербурга , нужно быть точнее в своих отчетах. Вы пишете, что впервые сталкиваетесь с тем,, что число бюллетеней в урне больше, чем было выдано. Это не так. В Первомайском это уже было в октябре 2012. Тогда было предположение, почему это происходит. Думаю, что и теперь  механизм  возникновения этой аномалии в арифметике тот же.;0;;;Ч2;3
56;4515;82407;1169819;82395;32803139;2015-05-15 17:10:07;[id168154272|Андрей], не совсем так. Доклад основан на официальных данных. <br><br>Соответственно, мы впервые сталкиваемся с тем, что официально принятые протоколы, размещенные на сайте избиркома, содержат нарушение мат.баланса. Понятно, что, на деле, наблюдатели уже давно видят всякие чудеса, но они не фиксировались в протоколах.<br><br>Так и в Первомайском: официально опубликованный протокол не содержит в себе никаких противоречий: http://vk.cc/3N0hnJ;0;;;Ф1;4
57;4516;82408;168154272;82395;32803139;2015-05-15 17:14:28;[id1169819|Лев], в этой ситуации наиболее важно понять как ЭТО происходит. Механизм. Тогда будет легче таким чудесам противостоять. А по поводу Первомайского, на видео прекрасно видно, как появилась арифметическая аномалия в увеличенной форме протокола, как комиссия пыталась её исправить. Те нестыковки, которые есть сейчас Пучнин легко объяснит очепяткой.;0;;;П3, Щ4;4
58;4517;82409;168154272;82395;32803139;2015-05-15 17:18:09;[id1169819|Лев], были ли на чудесных участках надежные наблюдатели?;1;;;А3;4
59;4518;82410;1741219;82395;32803139;2015-05-15 17:29:34;[id168154272|Андрей], из моего опыта — такие ситуации могут иметь самое разнообразное объяснение, чаще всего связанное с ошибками, описками и т.д. Люди несовершенны, особенно уставшие. Единичные случаи, если они обнаруживаются и исправляются вышестоящими комиссиями вопросов и сомнений не вызвали бы. Да и закон предусматривает возможность возникновения таких ситуаций и определяет способы их разрешения.<br><br>Другое дело, что такие масштабы ошибок свидетельствуют, как минимум, о некритичном и невнимательном отношении ТИК и ИКМО к своим обязанностям (иначе бы протоколы были составлены без ошибок, пусть и повторные). И заставляют предположить, что существовала внешняя сила (пресловутые  кураторы ), направлявшая деятельность комиссий не всегда в законное русло.;0;;;Ф4, И4;4
60;4519;82412;1169819;82395;32803139;2015-05-15 17:31:09;[id168154272|Андрей], в этот раз, по всей видимости, нарушение матбаланса произошло из-за манипуляций с досрочным голосованием (есть определенная теория на этот счет), которого не было в Первомайском. Т.е. механизмы в этом смысле разные. <br><br>Но, очевидно, что все это возможно лишь при ощущении фальсификаторами своей полной безнаказанности. Они реализуют различные преступные схемы (неучтенные бюллетени, подгонка списков избирателей, переписывание протоколов и т.д.), зная что потом им ничего за это не будет.;0;;;И4, Щ4;4
61;4520;82416;1169819;82395;32803139;2015-05-15 17:38:22;[id168154272|Андрей], наблюдатели были. И члены комиссий. На многих этих участках наблюдатели / члены комиссий были отстранены перед подсчетом. Например Вера Самолетова.;1;;;Ф4;4
62;4521;82424;168154272;82395;32803139;2015-05-15 19:05:11;[id1169819|Лев], было предположение (после Первомайского), что вбрасывали бюллетени, принесённые на участок извне. Задача фальсификатора с ПРГ на участке - внести в журнал липовые подписи избирателей по числу уже вброшенных бюллетеней и  ликвидировать  лишние неиспользованные бюллетени. Если это так, то активные наблюдатели и члены комиссии по той или иной причине не дали возможности фальсификатору с ПРГ выполнить свою работу до конца. Поэтому, на мой взгляд, на участке нужно усилить контроль за поведением членов комиссии, когда нет избирателей (чтобы они ничего не писали в журналах), тщательнее проверять журналы после окончания их заполнения (после 20 часов). Тщательнее контролировать процедуру гашения неиспользованных бюллетеней. Ну и ряд других мер...;2;;;И4, Р4;3
63;4522;82425;1169819;82395;32803139;2015-05-15 19:08:51;[id168154272|Андрей], с многодневным досрочным голосованием, с его хранением и передачей - это малореально (особенно если речь идет о большом количестве участков). Нет ресурсов на усиление контроля, который должен растянуться на многие дни.;0;;;Ф4;4
64;4523;82426;168154272;82395;32803139;2015-05-15 19:18:36;[id1169819|Лев], я не зря спросил, были ли активные люди на  необычных  участках. Подозреваю, что этот  феномен  имел место там, где они,активные люди, были. Где их не было, там с арифметикой должно быть всё в порядке, за исключением тех редчайших случаев, о которых здесь говорил Виктор Венгеров.;2;;;И4;4
65;4524;82428;1169819;82395;32803139;2015-05-15 19:31:15;[id168154272|Андрей], данный феномен был зафиксирован в более чем 360 протоколах. И в каждом их них не сходится матбаланс, который не прописан в законе, но, при этом, сходятся все соотношения, что в законе прописаны. Это свидетельствует о том, что комиссии без труда подбивали те соотношения, которые считали нужными подбить (не взирая на наличие / отсутствие активных людей). <br><br>Уверен, что с легкостью подбили бы они и соотношения, которые в законе не были прописаны, если бы были более  квалифицированными  фальсификаторами.<br><br>В Первомайском были и наблюдатели, и видео, и что угодно. Но протокол подбит, как надо, несмотря на активность общественных контролеров.;0;;;Щ4, Ч4;4
66;4525;82431;168154272;82395;32803139;2015-05-15 19:46:42;[id1169819|Лев], про Первомайское, вы не в курсе. Там официально опубликован на сайте Облизбиркома липовый протокол. На самом деле, согласно журналов, было выдано 190 бюллетеней, а в урнах (стационарных и переносных) было обнаружено 201 или 202 бюллетеня. Этот подсчет(методом перекладывания бюллетеней) был зафиксирован на видео ЕДИНЫМ фрагментом. По-моему шесть раз они пересчитывали бюллетени, но их всегда было больше 190. При этом три или четыре раза гас свет.<br><br>Что касается последних выборов, с учетом досрочки, применялись разные методы. Я говорил только об одном из них.;1;;;П3, И4;4
67;4526;82432;1169819;82395;32803139;2015-05-15 19:57:21;[id168154272|Андрей], я знаю про Первомайское и про то, что там липовый протокол. И видео смотрел. <br><br>Но напоминаю, что мы говорим о тех протоколах, что официально опубликованы, и липовость которых вытекает из них самих. <br><br>Вы высказали предположение, что такие протоколы, которые опубликованы и, тем не менее, у которых не сходятся концы с концами - результат активной работы наблюдателей.<br><br>Я с этим утверждением поспорил, в качестве примера приведя Первомайское, где существенная активность общественных контролеров, не помешала опубликовать протокол, в котором все сходится. И который так сходу нельзя назвать липовым, без изучения видео и других материалов.;0;;;Ф1, Б3;4
68;4527;82433;168154272;82395;32803139;2015-05-15 20:05:53;[id1169819|Лев], нет вы меня не правильно поняли. Либо я вас. То, что на сайте Горизбиркома вывешены нелогичные данные (выдано бюллетеней меньше, чем обнаружено) - это чистой воды непрофессионализм команды Пучнина. Гнать его нужно с работы. Могли бы поступить также, как и Облизбирком в случае Первомайского -тупо написали, что нужно. Я говорил о том, что один из способов фальсификаций - примитивный вброс, можно выявить при подсчете. Не дать им сделать всё чисто.;1;;;К1,Т4,Ф1;4
69;4528;82438;29383383;82395;32803139;2015-05-15 22:41:12;[id168154272|Андрей], Ну, сказали Вы. Кто гнать -то будет. С моего УИК еще и гос. видео пропало. Нет его ! Точнее , прислали,номер моего УИК ,а на видео - соседний (выше этажом);0;;;Б3, Щ4;4
70;4529;82439;29383383;82395;32803139;2015-05-15 22:44:07;[id1169819|Лев], Прошу прощения,но я была удалена (а не отстранена),насильно,с нанесением телесных повреждений при  выносе (зафиксировано) и доставлена в полицию за час до окончания голосования. Дело не закончено.;0;;;Ф1, Д1;4
71;4530;82440;1169819;82395;32803139;2015-05-15 22:59:51;[id29383383|Вера], да, извините, я помню, что вы были удалены полицией.;0;;;Ф1;4
72;4531;82441;29383383;82395;32803139;2015-05-15 23:06:42;[id1169819|Лев], Первоначально решение было принято Председателем УИК. Полиция действовала по его указанию,но не суть.;0;;;П3;4
